Dossier,Fichier,Id_avant validation,Id,Validation,Opérateur,Contact,Groupe,IGp,Espece,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Lieu,Machine,Site,Habitat1,Habitat2,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,Projet
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_221641_002.wav,PippiT,PippiT,C. Brabant,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,22,16,7/07/2018,22:16,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",27,50,86,5,1,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_221646_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,22,16,7/07/2018,22:16,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",7,47,90,5,1,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_222730_002.wav,Myosp,Myosp,,"Q. Smits, B. Molitor",Principal,Myosp,8,Myobra,0,2018,7,7,22,27,7/07/2018,22:27,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",5,39,0,2,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_222830_002.wav,Pip50,Pip50,,"Q. Smits, B. Molitor",Principal,Pip50,9,PippiT,5,2018,7,7,22,28,7/07/2018,22:28,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",3,48,0,6,2,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_222835_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,22,28,7/07/2018,22:28,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",15,48,81,6,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_223124_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,22,31,7/07/2018,22:31,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",35,47,80,7,2,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_223129_002.wav,ChiroSp,ChiroSp,,"Q. Smits, B. Molitor",Principal,Pip50,3,PippiT,3,2018,7,7,22,31,7/07/2018,22:31,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",2,47,0,4,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_223448_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,22,34,7/07/2018,22:34,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",1,50,0,5,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_224233_002.wav,ChiroSp,ChiroSp,,"Q. Smits, B. Molitor",Principal,Myosp,0,Myoema,0,2018,7,7,22,42,7/07/2018,22:42,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",1,53,0,1,2,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_225950_002.wav,Myosp,Myosp,,"Q. Smits, B. Molitor",Principal,Myosp,6,Myobec,1,2018,7,7,22,59,7/07/2018,22:59,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",20,41,93,6,1,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_225955_002.wav,ChiroSp,ChiroSp,,"Q. Smits, B. Molitor",Principal,Myosp,3,Myobra,0,2018,7,7,22,59,7/07/2018,22:59,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",5,44,89,4,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_230415_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,4,7/07/2018,23:04,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",17,48,86,7,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_230420_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,4,7/07/2018,23:04,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",11,47,92,7,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_231135_002.wav,Myosp,Myobec,C. Brabant,"Q. Smits, B. Molitor",Principal,Myosp,8,Myobec,4,2018,7,7,23,11,7/07/2018,23:11,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",12,36,98,7,1,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_231140_002.wav,Myosp,Myosp,C. Brabant,"Q. Smits, B. Molitor",Principal,Myosp,7,Myobec,3,2018,7,7,23,11,7/07/2018,23:11,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",14,36,85,6,1,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_231237_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,12,7/07/2018,23:12,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",20,49,80,5,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_231242_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,12,7/07/2018,23:12,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",21,47,82,6,3,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_231452_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,14,7/07/2018,23:14,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",68,48,61,6,2,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_231457_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,14,7/07/2018,23:14,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",30,47,80,6,2,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_231659_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,16,7/07/2018,23:16,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",7,47,97,5,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_231941_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,19,7/07/2018,23:19,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",40,46,80,7,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_231946_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,6,PippiT,6,2018,7,7,23,19,7/07/2018,23:19,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",3,44,0,4,3,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_232642_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,26,7/07/2018,23:26,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",16,48,111,6,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_233112_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,31,7/07/2018,23:31,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",15,47,95,6,2,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_233117_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,31,7/07/2018,23:31,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",12,46,170,7,1,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_233205_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,32,7/07/2018,23:32,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",33,49,89,6,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_233210_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,32,7/07/2018,23:32,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",7,47,67,6,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_233255_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,32,7/07/2018,23:32,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",16,49,185,8,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_233559_002.wav,PippiT,PippiT,,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,23,35,7/07/2018,23:35,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",5,46,1,6,1,0,Barba_Lux
