Directory,File,Id-avant-validation,Id,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Opérateur,Site,Habitat1,Habitat2,SM2,Validation,Machine,Projet,Commentaires
G:/SM2B - OrpJauche - CavesPahaut/,0_20131002_191700_000.wav,PippiT,PippiT,Main,Pip50,10,PippiT,6,2013,10,2,19,17,2/10/2013,19:17,2/10/2013,0,83,51,0,5,1,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,A. Mazurie,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131002_191708_786.wav,Pip50,Pip50,Main,Pip50,10,PippiT,3,2013,10,2,19,17,2/10/2013,19:17,2/10/2013,0,71,51,68,5,1,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131002_191713_786.wav,PippiT,PippiT,Main,Pip50,10,PippiT,6,2013,10,2,19,17,2/10/2013,19:17,2/10/2013,0,16,50,0,4,1,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131002_191719_728.wav,Pip50,Pip50,Main,Pip50,10,PippiT,5,2013,10,2,19,17,2/10/2013,19:17,2/10/2013,0,101,51,0,4,1,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131002_191724_728.wav,PippiT,PippiT,Main,Pip50,10,PippiT,9,2013,10,2,19,17,2/10/2013,19:17,2/10/2013,0,36,50,0,5,1,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131002_191732_094.wav,Pip50,Pip50,Main,Pip50,10,PippiT,4,2013,10,2,19,17,2/10/2013,19:17,2/10/2013,0,79,51,61,5,1,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131002_191737_095.wav,Pip50,Pip50,Main,Pip50,10,PippiT,5,2013,10,2,19,17,2/10/2013,19:17,2/10/2013,0,111,51,0,5,1,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131002_191742_096.wav,PippiT,PippiT,Main,Pip50,10,PippiT,7,2013,10,2,19,17,2/10/2013,19:17,2/10/2013,0,17,50,0,4,0,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131002_191750_463.wav,Pip50,Pip50,Main,Pip50,10,PippiT,5,2013,10,2,19,17,2/10/2013,19:17,2/10/2013,0,101,51,0,5,2,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131002_191755_464.wav,PippiT,PippiT,Main,Pip50,10,PippiT,6,2013,10,2,19,17,2/10/2013,19:17,2/10/2013,0,14,50,0,4,1,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,,SM2-B,Divers Plecotus,
