Directory,File,File2,Validation,Id,Id_avant validation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Site,Opérateur,Habitat1,Habitat2,Machine,Projet
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_220310_467.wav,LIFEA_20140607_220310_467.wav,,PippiT,PippiT,Main,Pip50,8,PippiT,8,2014,6,7,22,3,7/06/2014,22:03,7/06/2014,LIFEA,6,53,49,3,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_220529_871.wav,LIFEA_20140607_220529_871.wav,,PippiT,PippiT,Main,Pip50,8,PippiT,8,2014,6,7,22,5,7/06/2014,22:05,7/06/2014,LIFEA,12,52,65,4,1,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_220624_377.wav,LIFEA_20140607_220624_377.wav,,PippiT,PippiT,Main,Pip50,7,PippiT,7,2014,6,7,22,6,7/06/2014,22:06,7/06/2014,LIFEA,12,53,79,3,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_220655_880.wav,LIFEA_20140607_220655_880.wav,,PippiT,PippiT,Main,Pip50,6,PippiT,6,2014,6,7,22,6,7/06/2014,22:06,7/06/2014,LIFEA,8,49,50,2,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_220723_190.wav,LIFEA_20140607_220723_190.wav,,ChiroSp,ChiroSp,Main,Myosp,0,Myoalc,0,2014,6,7,22,7,7/06/2014,22:07,7/06/2014,LIFEA,16,53,34,3,0,1,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_220925_072.wav,LIFEA_20140607_220925_072.wav,,ChiroSp,ChiroSp,Main,Pip50,4,PippiT,4,2014,6,7,22,9,7/06/2014,22:09,7/06/2014,LIFEA,10,52,74,3,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_220937_946.wav,LIFEA_20140607_220937_946.wav,,PippiT,PippiT,Main,Pip50,8,PippiT,8,2014,6,7,22,9,7/06/2014,22:09,7/06/2014,LIFEA,40,53,38,3,4,4,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221033_212.wav,LIFEA_20140607_221033_212.wav,,PippiT,PippiT,Main,Pip50,9,PippiT,9,2014,6,7,22,10,7/06/2014,22:10,7/06/2014,LIFEA,9,50,43,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221207_324.wav,LIFEA_20140607_221207_324.wav,,PippiT,PippiT,Main,Pip50,8,PippiT,8,2014,6,7,22,12,7/06/2014,22:12,7/06/2014,LIFEA,23,53,70,3,1,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221217_715.wav,LIFEA_20140607_221217_715.wav,,PippiT,PippiT,Main,Pip50,8,PippiT,8,2014,6,7,22,12,7/06/2014,22:12,7/06/2014,LIFEA,18,53,54,3,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221227_388.wav,LIFEA_20140607_221227_388.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,22,12,7/06/2014,22:12,7/06/2014,LIFEA,30,53,64,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221231_982.wav,LIFEA_20140607_221231_982.wav,,PippiT,PippiT,Main,Pip50,6,PippiT,6,2014,6,7,22,12,7/06/2014,22:12,7/06/2014,LIFEA,7,48,61,2,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221409_258.wav,LIFEA_20140607_221409_258.wav,,PippiT,PippiT,Main,Pip50,8,PippiT,8,2014,6,7,22,14,7/06/2014,22:14,7/06/2014,LIFEA,16,53,78,3,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221422_100.wav,LIFEA_20140607_221422_100.wav,,PippiT,PippiT,Main,Pip50,9,PippiT,9,2014,6,7,22,14,7/06/2014,22:14,7/06/2014,LIFEA,25,53,69,4,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
D:/documents Pierrette/SM2 Vesdre/20140610_dreve-lisiere etang Foret/,LIFEA_0_20140607_221551_762.wav,LIFEA_20140607_221551_762.wav,,PippiT,PippiT,Main,Pip50,7,PippiT,7,2014,6,7,22,15,7/06/2014,22:15,7/06/2014,LIFEA,36,53,68,3,0,0,Forêt_étang,"S. Pirotte, J. Thonnard, P. Cao",Plan d'eau - étang (>50m²),Bande boisée et alignement d'arbres,SM2-A,Plecotus Natura 2000
