Directory,File,Validation,Id,Id_avant validation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Opérateur,Site,Machine,Projet,Habitat1,Habitat2
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_222830_000.wav,,ENVsp,ENVsp,Main,ENVsp,9,Vesmur,2,2015,8,2,22,28,2/08/2015,22:28,2/08/2015,SM2-BXL,14,27,191,5,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_222835_000.wav,,ChiroSp,ChiroSp,Main,ENVsp,3,Eptser,1,2015,8,2,22,28,2/08/2015,22:28,2/08/2015,SM2-BXL,15,28,156,5,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/NOISE/,SM2-BXL_0_20150802_222855_000.wav,P. Nyssen,ChiroSp,ChiroSp,Main,Myosp,0,Myomyo,0,2015,8,2,22,28,2/08/2015,22:28,2/08/2015,SM2-BXL,5,28,285,4,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_222900_000.wav,,ENVsp,ENVsp,Main,ENVsp,10,Vesmur,2,2015,8,2,22,29,2/08/2015,22:29,2/08/2015,SM2-BXL,9,27,140,5,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/NOISE/,SM2-BXL_0_20150802_222905_000.wav,,ChiroSp,ChiroSp,Main,ENVsp,2,Vesmur,2,2015,8,2,22,29,2/08/2015,22:29,2/08/2015,SM2-BXL,3,26,0,4,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_222910_000.wav,,ChiroSp,ChiroSp,Main,ENVsp,4,Vesmur,2,2015,8,2,22,29,2/08/2015,22:29,2/08/2015,SM2-BXL,7,29,128,4,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_222915_000.wav,,ChiroSp,ChiroSp,Main,ENVsp,5,Eptser,0,2015,8,2,22,29,2/08/2015,22:29,2/08/2015,SM2-BXL,14,28,0,6,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_222920_000.wav,,ENVsp,ENVsp,Main,ENVsp,7,Eptser,2,2015,8,2,22,29,2/08/2015,22:29,2/08/2015,SM2-BXL,34,29,139,7,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_222925_000.wav,,ENVsp,ENVsp,Main,ENVsp,9,Eptser,0,2015,8,2,22,29,2/08/2015,22:29,2/08/2015,SM2-BXL,23,29,108,7,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_223020_000.wav,,ENVsp,ENVsp,Main,ENVsp,7,Eptser,0,2015,8,2,22,30,2/08/2015,22:30,2/08/2015,SM2-BXL,8,29,0,5,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_223025_000.wav,,ChiroSp,ChiroSp,Main,ENVsp,4,Eptnil,0,2015,8,2,22,30,2/08/2015,22:30,2/08/2015,SM2-BXL,7,29,0,5,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_223045_000.wav,,ChiroSp,ChiroSp,Main,ENVsp,1,Eptser,0,2015,8,2,22,30,2/08/2015,22:30,2/08/2015,SM2-BXL,4,29,61,6,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_223310_000.wav,P. Nyssen,ChiroSp,ChiroSp,Main,Myosp,0,Myomyo,0,2015,8,2,22,33,2/08/2015,22:33,2/08/2015,SM2-BXL,2,29,0,5,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_223315_000.wav,P. Nyssen,ENVsp,ChiroSp,Main,Myosp,0,Myomyo,0,2015,8,2,22,33,2/08/2015,22:33,2/08/2015,SM2-BXL,9,28,146,6,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_223330_000.wav,,ChiroSp,ChiroSp,Main,ENVsp,5,Eptser,1,2015,8,2,22,33,2/08/2015,22:33,2/08/2015,SM2-BXL,31,29,139,6,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_223335_000.wav,,ChiroSp,ChiroSp,Main,ENVsp,1,Eptnil,1,2015,8,2,22,33,2/08/2015,22:33,2/08/2015,SM2-BXL,6,30,0,6,4,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_223345_000.wav,,parasi,parasi,Main,parasi,0,parasi,0,2015,8,2,22,33,2/08/2015,22:33,2/08/2015,SM2-BXL,10,37,112,4,3,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_223455_000.wav,,ChiroSp,ChiroSp,Main,ENVsp,5,Eptser,0,2015,8,2,22,34,2/08/2015,22:34,2/08/2015,SM2-BXL,22,29,141,6,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_223500_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,22,35,2/08/2015,22:35,2/08/2015,SM2-BXL,43,47,64,10,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_223505_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,22,35,2/08/2015,22:35,2/08/2015,SM2-BXL,5,44,196,8,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_223550_000.wav,,ENVsp,ENVsp,Main,ENVsp,10,Eptnil,3,2015,8,2,22,35,2/08/2015,22:35,2/08/2015,SM2-BXL,4,29,483,9,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_223555_000.wav,,ENVsp,ENVsp,Main,ENVsp,7,Vesmur,2,2015,8,2,22,35,2/08/2015,22:35,2/08/2015,SM2-BXL,8,27,0,7,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_223915_000.wav,,ChiroSp,ChiroSp,Main,Pip50,4,PippiT,4,2015,8,2,22,39,2/08/2015,22:39,2/08/2015,SM2-BXL,4,44,494,6,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_224205_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,22,42,2/08/2015,22:42,2/08/2015,SM2-BXL,6,45,196,6,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_224330_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,22,43,2/08/2015,22:43,2/08/2015,SM2-BXL,7,45,0,6,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_224400_000.wav,P. Nyssen,parasi,ChiroSp,Main,Myosp,2,Myonat,2,2015,8,2,22,44,2/08/2015,22:44,2/08/2015,SM2-BXL,1,37,0,5,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_224445_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,22,44,2/08/2015,22:44,2/08/2015,SM2-BXL,16,47,193,8,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_224615_000.wav,,PippiT,PippiT,Main,Pip50,9,PippiT,9,2015,8,2,22,46,2/08/2015,22:46,2/08/2015,SM2-BXL,6,44,288,6,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_224715_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,22,47,2/08/2015,22:47,2/08/2015,SM2-BXL,12,47,91,6,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_224805_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,22,48,2/08/2015,22:48,2/08/2015,SM2-BXL,2,46,0,6,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_224810_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,22,48,2/08/2015,22:48,2/08/2015,SM2-BXL,14,45,159,9,3,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_224815_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,22,48,2/08/2015,22:48,2/08/2015,SM2-BXL,8,47,92,5,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_224835_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,22,48,2/08/2015,22:48,2/08/2015,SM2-BXL,13,46,379,8,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/NOISE/,SM2-BXL_0_20150802_224940_000.wav,P. Nyssen,ENVsp,ENVsp,Main,ENVsp,9,Eptnil,5,2015,8,2,22,49,2/08/2015,22:49,2/08/2015,SM2-BXL,1,31,424,5,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_224945_000.wav,,ENVsp,ENVsp,Main,ENVsp,10,Vesmur,2,2015,8,2,22,49,2/08/2015,22:49,2/08/2015,SM2-BXL,21,29,123,9,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_224950_000.wav,,ENVsp,ENVsp,Main,ENVsp,10,Vesmur,3,2015,8,2,22,49,2/08/2015,22:49,2/08/2015,SM2-BXL,9,27,241,7,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_224955_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,7,2015,8,2,22,49,2/08/2015,22:49,2/08/2015,SM2-BXL,6,48,292,6,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_225015_000.wav,,Pip50,Pip50,Main,Pip50,9,PippiT,4,2015,8,2,22,50,2/08/2015,22:50,2/08/2015,SM2-BXL,4,44,196,7,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_225220_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,22,52,2/08/2015,22:52,2/08/2015,SM2-BXL,14,49,102,7,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_225225_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,22,52,2/08/2015,22:52,2/08/2015,SM2-BXL,29,48,78,7,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_225250_000.wav,,ChiroSp,ChiroSp,Main,Pip50,0,PippiT,0,2015,8,2,22,52,2/08/2015,22:52,2/08/2015,SM2-BXL,1,42,230,5,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_225540_000.wav,,ChiroSp,ChiroSp,Main,Pip50,2,PippiT,1,2015,8,2,22,55,2/08/2015,22:55,2/08/2015,SM2-BXL,2,44,341,5,3,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_225610_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,22,56,2/08/2015,22:56,2/08/2015,SM2-BXL,34,48,102,10,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_225615_000.wav,,Pip50,Pip50,Main,Pip50,10,PippiT,5,2015,8,2,22,56,2/08/2015,22:56,2/08/2015,SM2-BXL,3,21,0,5,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_225625_000.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,8,2,22,56,2/08/2015,22:56,2/08/2015,SM2-BXL,12,47,279,7,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_0_20150802_225630_000.wav,,Pip50,Pip50,Main,Pip50,9,PippiT,5,2015,8,2,22,56,2/08/2015,22:56,2/08/2015,SM2-BXL,3,44,0,6,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
