Directory,File,Validation,Id,Id_avant validation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Site,Machine,Opérateur,Projet,Habitat1,Habitat2
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170310_191613_753.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2017,3,10,19,16,10/03/2017,19:16,10/03/2017,A-DASY,25,46,165,10,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170310_192255_727.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2017,3,10,19,22,10/03/2017,19:22,10/03/2017,A-DASY,17,45,172,8,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170310_192714_307.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2017,3,10,19,27,10/03/2017,19:27,10/03/2017,A-DASY,24,47,167,10,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170310_192723_325.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2017,3,10,19,27,10/03/2017,19:27,10/03/2017,A-DASY,55,47,69,8,2,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170310_192741_842.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,7,2017,3,10,19,27,10/03/2017,19:27,10/03/2017,A-DASY,4,45,165,5,0,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170310_193109_285.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2017,3,10,19,31,10/03/2017,19:31,10/03/2017,A-DASY,38,47,50,8,2,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/,A-DASY_20170310_193114_285.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2017,3,10,19,31,10/03/2017,19:31,10/03/2017,A-DASY,27,49,57,6,6,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170310_195039_331.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2017,3,10,19,50,10/03/2017,19:50,10/03/2017,A-DASY,10,45,133,6,1,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170310_195155_215.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2017,3,10,19,51,10/03/2017,19:51,10/03/2017,A-DASY,6,46,0,5,1,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
H:/Dasy_Escaut_BenoitGauquie/__dasy_A_hollain/wav/NOISE/,A-DASY_20170310_195222_881.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2017,3,10,19,52,10/03/2017,19:52,10/03/2017,A-DASY,4,47,0,6,2,0,Hollain (Escaut),SM2-A,B. Gauquie,Divers Plecotus,Cours d'eau - fleuves et gd rivières (L >10 m),"Chemin (induré, circulation véhicule lents)"
