Num,Dossier,Fichier,Date_validation,Validation,Id,Id_avant validation,Contact,Groupe,IGp,Espece,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Lieu,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,Site,Opérateur,Machine,Action,Projet,Habitat1,Habitat2
108,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_215709_824.wav,,,PippiT,PippiT,Principal,Pip50,7,PippiT,7,2014,7,11,21,57,11/07/2014,21:57,11/07/2014,LIFEA,36,45,75,5,2,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
109,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_220157_010.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,1,11/07/2014,22:01,11/07/2014,LIFEA,7,44,82,6,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
110,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_220729_453.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,7,11/07/2014,22:07,11/07/2014,LIFEA,14,45,78,4,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
111,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_220741_786.wav,,,PippiT,PippiT,Principal,Pip50,9,PippiT,9,2014,7,11,22,7,11/07/2014,22:07,11/07/2014,LIFEA,20,46,67,4,2,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
112,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_220854_214.wav,,,PippiT,PippiT,Principal,Pip50,9,PippiT,9,2014,7,11,22,8,11/07/2014,22:08,11/07/2014,LIFEA,20,44,70,4,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
113,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_220944_198.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,9,11/07/2014,22:09,11/07/2014,LIFEA,2,46,0,4,1,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
114,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221052_489.wav,,,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2014,7,11,22,10,11/07/2014,22:10,11/07/2014,LIFEA,5,46,69,3,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
115,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221131_346.wav,,,PippiT,PippiT,Principal,Pip50,6,PippiT,6,2014,7,11,22,11,11/07/2014,22:11,11/07/2014,LIFEA,3,47,0,4,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
116,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221215_594.wav,,,PippiT,PippiT,Principal,Pip50,9,PippiT,9,2014,7,11,22,12,11/07/2014,22:12,11/07/2014,LIFEA,6,47,77,4,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
117,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221236_744.wav,,,PippiT,PippiT,Principal,Pip50,8,PippiT,8,2014,7,11,22,12,11/07/2014,22:12,11/07/2014,LIFEA,24,56,54,3,1,3,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
118,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221246_489.wav,,,PippiT,PippiT,Principal,Pip50,8,PippiT,8,2014,7,11,22,12,11/07/2014,22:12,11/07/2014,LIFEA,12,48,69,3,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
119,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221312_940.wav,,,ChiroSp,ChiroSp,Principal,Myosp,0,Myoalc,0,2014,7,11,22,13,11/07/2014,22:13,11/07/2014,LIFEA,7,58,0,2,1,3,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
120,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221442_629.wav,,,PippiT,PippiT,Principal,Pip50,9,PippiT,9,2014,7,11,22,14,11/07/2014,22:14,11/07/2014,LIFEA,6,47,74,4,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
121,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221450_660.wav,,,PippiT,PippiT,Principal,Pip50,8,PippiT,8,2014,7,11,22,14,11/07/2014,22:14,11/07/2014,LIFEA,25,53,70,3,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
122,G:/SM2 Projet life prairie bocagère 2014/sm2 a/Feschaux Grand Quarti point 1/,LIFEA_0_20140711_221502_319.wav,,,PippiT,PippiT,Principal,Pip50,8,PippiT,8,2014,7,11,22,15,11/07/2014,22:15,11/07/2014,LIFEA,45,50,61,3,0,0,Feschaux Grand Quarti point 1,S. Chapoulie,SM2-A,D3,LIFE Prairies bocagères,Culture,Bande boisée et alignement d'arbres
