Dossier,Fichier,Id_avant validation,Id,Validation,Contact,Groupe,IGp,Espece,ISp,Annee,Mois,Jour,Heure,Minute,Date,Temps,Date_nuit,Lieu,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz
F:/Plecobrux/WAV/,S4U00311_20180921_211607_000.wav,Pip35,Pip35,,Principal,Pip35,10,Pipnat,4,2018,9,21,21,16,21/09/2018,21:16,21/09/2018,S4U00311,8,38,176,8,3,0
F:/Plecobrux/WAV/,S4U00311_20180921_213828_000.wav,Pipnat,Pipnat,,Principal,Pip35,10,Pipnat,7,2018,9,21,21,38,21/09/2018,21:38,21/09/2018,S4U00311,32,39,143,10,0,0
F:/Plecobrux/WAV/,S4U00311_20180921_213833_000.wav,Pip35,Pip35,,Principal,Pip35,10,Pipnat,5,2018,9,21,21,38,21/09/2018,21:38,21/09/2018,S4U00311,39,40,118,10,2,0
F:/Plecobrux/WAV/,S4U00311_20180921_213838_000.wav,Pip35,Pip35,,Principal,Pip35,9,Pipnat,3,2018,9,21,21,38,21/09/2018,21:38,21/09/2018,S4U00311,5,42,4,7,0,0
F:/Plecobrux/WAV/,S4U00311_20180922_031602_000.wav,Pip35,Pip35,,Principal,Pip35,10,Pipnat,2,2018,9,22,3,16,22/09/2018,3:16,21/09/2018,S4U00311,22,40,131,8,1,0
F:/Plecobrux/WAV/,S4U00311_20180922_215659_000.wav,ENVsp,Nyclei,C. Brabant,Principal,ENVsp,7,Nyclei,3,2018,9,22,21,56,22/09/2018,21:56,22/09/2018,S4U00311,17,26,247,9,3,0
F:/Plecobrux/WAV/,S4U00311_20180922_215704_000.wav,ENVsp,ENVsp,,Principal,ENVsp,7,Nyclei,2,2018,9,22,21,57,22/09/2018,21:57,22/09/2018,S4U00311,6,25,205,8,0,0
F:/Plecobrux/WAV/,S4U00311_20180922_215922_000.wav,ENVsp,ENVsp,,Principal,ENVsp,10,Nyclei,2,2018,9,22,21,59,22/09/2018,21:59,22/09/2018,S4U00311,7,25,424,7,2,0
F:/Plecobrux/WAV/,S4U00311_20180923_193206_000.wav,ChiroSp,ChiroSp,,Principal,ENVsp,4,Nyclei,4,2018,9,23,19,32,23/09/2018,19:32,23/09/2018,S4U00311,2,24,7,0,2,0
F:/Plecobrux/WAV/,S4U00311_20180923_202724_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2018,9,23,20,27,23/09/2018,20:27,23/09/2018,S4U00311,32,47,136,9,2,0
F:/Plecobrux/WAV/,S4U00311_20180923_202729_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2018,9,23,20,27,23/09/2018,20:27,23/09/2018,S4U00311,1,46,0,7,0,0
F:/Plecobrux/WAV/,S4U00311_20180923_215537_000.wav,Pip35,Pip35,,Principal,Pip35,7,Pipnat,3,2018,9,23,21,55,23/09/2018,21:55,23/09/2018,S4U00311,45,45,96,9,1,0
F:/Plecobrux/WAV/,S4U00311_20180923_215542_000.wav,Pip35,Pip35,,Principal,Pip35,10,Pipnat,3,2018,9,23,21,55,23/09/2018,21:55,23/09/2018,S4U00311,22,43,145,9,1,0
F:/Plecobrux/WAV/,S4U00311_20180923_220427_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2018,9,23,22,4,23/09/2018,22:04,23/09/2018,S4U00311,40,47,90,8,1,0
F:/Plecobrux/WAV/,S4U00311_20180923_222849_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2018,9,23,22,28,23/09/2018,22:28,23/09/2018,S4U00311,29,46,144,10,1,0
F:/Plecobrux/WAV/,S4U00311_20180923_222854_000.wav,PippiT,PippiT,,Principal,Pip50,10,PippiT,10,2018,9,23,22,28,23/09/2018,22:28,23/09/2018,S4U00311,12,45,136,10,1,0
