Directory,File,Validation,Id,Id_avant validation,Contact,Group,Igp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Site,Machine,Opérateur,Projet,Habitat1,Habitat2
D:/PlecoBRUX - ligne 161/SM2Bat-D/WAV/,LIFED_20160911_015243_467.wav,P. Nyssen,Myosp,Myoema,Main,Myosp,9,Myoema,9,2016,9,11,1,52,11/09/2016,1:52,10/09/2016,LIFED,3,94,0,0,0,0,ligne 161 - DB5,SM2-D,P. Nyssen,Plecobrux,"Cavité - carrière, mine et grotte",
D:/PlecoBRUX - ligne 161/SM2Bat-D/WAV/,LIFED_20160911_015104_704.wav,P. Nyssen,Myosp,Myoema,Main,Myosp,8,Myoema,8,2016,9,11,1,51,11/09/2016,1:51,10/09/2016,LIFED,25,65,0,0,0,0,ligne 161 - DB5,SM2-D,P. Nyssen,Plecobrux,"Cavité - carrière, mine et grotte",
D:/PlecoBRUX - ligne 161/SM2Bat-D/WAV/,LIFED_20160911_015114_704.wav,,Myosp,Myoema,Main,Myosp,9,Myoema,8,2016,9,11,1,51,11/09/2016,1:51,10/09/2016,LIFED,6,54,0,0,0,0,ligne 161 - DB5,SM2-D,P. Nyssen,Plecobrux,"Cavité - carrière, mine et grotte",
D:/PlecoBRUX - ligne 161/SM2Bat-D/WAV/,LIFED_20160912_031547_549.wav,,Myosp,Myoema,Main,Myosp,7,Myoema,7,2016,9,12,3,15,12/09/2016,3:15,11/09/2016,LIFED,5,61,57,0,0,0,ligne 161 - DB5,SM2-D,P. Nyssen,Plecobrux,"Cavité - carrière, mine et grotte",
D:/PlecoBRUX - ligne 161/SM2Bat-D/WAV/NOISE/,LIFED_20160912_223441_201.wav,,Myosp,Myoema,Main,Myosp,7,Myoema,7,2016,9,12,22,34,12/09/2016,22:34,12/09/2016,LIFED,1,94,0,0,0,0,ligne 161 - DB5,SM2-D,P. Nyssen,Plecobrux,"Cavité - carrière, mine et grotte",
D:/PlecoBRUX - ligne 161/SM2Bat-C/WAV/,LIFEC_20160913_004455_725.wav,,Myosp,Myoema,Main,Myosp,6,Myoema,6,2016,9,13,0,44,13/09/2016,0:44,12/09/2016,LIFEC,10,59,0,0,0,0,Ligne 161 - DB6,SM2-C,P. Nyssen,Plecobrux,"Cavité - carrière, mine et grotte",
D:/PlecoBRUX - ligne 161/SM2Bat-C/WAV/,LIFEC_20160915_023406_483.wav,,Myosp,Myoema,Main,Myosp,6,Myoema,6,2016,9,15,2,34,15/09/2016,2:34,14/09/2016,LIFEC,14,89,0,0,1,0,Ligne 161 - DB6,SM2-C,P. Nyssen,Plecobrux,"Cavité - carrière, mine et grotte",
D:/PlecoBRUX - ligne 161/SM2Bat-D/WAV/,LIFED_20160909_004318_053.wav,,Myosp,Myoema,Main,Myosp,6,Myoema,6,2016,9,9,0,43,9/09/2016,0:43,8/09/2016,LIFED,14,68,0,0,0,2,ligne 161 - DB5,SM2-D,P. Nyssen,Plecobrux,"Cavité - carrière, mine et grotte",
D:/PlecoBRUX - ligne 161/SM2Bat-D/WAV/,LIFED_20160909_015319_269.wav,,Myosp,Myoema,Main,Myosp,6,Myoema,6,2016,9,9,1,53,9/09/2016,1:53,8/09/2016,LIFED,6,92,50,0,0,0,ligne 161 - DB5,SM2-D,P. Nyssen,Plecobrux,"Cavité - carrière, mine et grotte",
D:/PlecoBRUX - ligne 161/SM2Bat-D/WAV/,LIFED_20160909_015456_740.wav,,Myosp,Myoema,Main,Myosp,6,Myoema,6,2016,9,9,1,54,9/09/2016,1:54,8/09/2016,LIFED,33,65,39,0,1,0,ligne 161 - DB5,SM2-D,P. Nyssen,Plecobrux,"Cavité - carrière, mine et grotte",
D:/PlecoBRUX - ligne 161/SM2Bat-D/WAV/,LIFED_20160909_021545_755.wav,,Myosp,Myoema,Main,Myosp,6,Myoema,6,2016,9,9,2,15,9/09/2016,2:15,8/09/2016,LIFED,9,73,44,0,0,0,ligne 161 - DB5,SM2-D,P. Nyssen,Plecobrux,"Cavité - carrière, mine et grotte",
