Directory,File,Validation,Id,Id_avant validation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Site,Machine,Opérateur,Projet,Habitat1,Habitat2
H:/PlecoLUX - Thierry 2016/2016-05-24 Vanne des moines - A ANALYSER/Em3 en bord de semois - output/wav post kaleidoscope/,__20160524_214344_412.wav,,PippiT,PippiT,Main,Pip50,6,PippiT,6,2016,5,24,21,43,24/05/2016,21:43,24/05/2016,,8,45,224,7,0,0,Vanne des Moines (Bord de Semois),EM3,T. Cambier,Divers Plecotus,,
H:/PlecoLUX - Thierry 2016/2016-05-24 Vanne des moines - A ANALYSER/Em3 en bord de semois - output/wav post kaleidoscope/,__20160524_214349_305.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2016,5,24,21,43,24/05/2016,21:43,24/05/2016,,30,49,86,8,0,0,Vanne des Moines (Bord de Semois),EM3,T. Cambier,Divers Plecotus,,
H:/PlecoLUX - Thierry 2016/2016-05-24 Vanne des moines - A ANALYSER/Em3 en bord de semois - output/wav post kaleidoscope/,__20160524_215232_591.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2016,5,24,21,52,24/05/2016,21:52,24/05/2016,,6,48,0,5,0,0,Vanne des Moines (Bord de Semois),EM3,T. Cambier,Divers Plecotus,,
H:/PlecoLUX - Thierry 2016/2016-05-24 Vanne des moines - A ANALYSER/Em3 en bord de semois - output/wav post kaleidoscope/,__20160524_215332_799.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2016,5,24,21,53,24/05/2016,21:53,24/05/2016,,15,48,79,6,1,0,Vanne des Moines (Bord de Semois),EM3,T. Cambier,Divers Plecotus,,
H:/PlecoLUX - Thierry 2016/2016-05-24 Vanne des moines - A ANALYSER/Em3 en bord de semois - output/wav post kaleidoscope/,__20160524_215458_733.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2016,5,24,21,54,24/05/2016,21:54,24/05/2016,,6,45,60,4,1,0,Vanne des Moines (Bord de Semois),EM3,T. Cambier,Divers Plecotus,,
H:/PlecoLUX - Thierry 2016/2016-05-24 Vanne des moines - A ANALYSER/Em3 en bord de semois - output/wav post kaleidoscope/,__20160524_220022_226.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2016,5,24,22,0,24/05/2016,22:00,24/05/2016,,6,47,17,5,0,0,Vanne des Moines (Bord de Semois),EM3,T. Cambier,Divers Plecotus,,
H:/PlecoLUX - Thierry 2016/2016-05-24 Vanne des moines - A ANALYSER/Em3 en bord de semois - output/wav post kaleidoscope/,__20160524_220157_228.wav,,ChiroSp,ChiroSp,Main,Myosp,3,Myodau,3,2016,5,24,22,1,24/05/2016,22:01,24/05/2016,,52,46,0,5,2,0,Vanne des Moines (Bord de Semois),EM3,T. Cambier,Divers Plecotus,,
H:/PlecoLUX - Thierry 2016/2016-05-24 Vanne des moines - A ANALYSER/Em3 en bord de semois - output/wav post kaleidoscope/,__20160524_220202_823.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2016,5,24,22,2,24/05/2016,22:02,24/05/2016,,28,49,70,6,1,0,Vanne des Moines (Bord de Semois),EM3,T. Cambier,Divers Plecotus,,
H:/PlecoLUX - Thierry 2016/2016-05-24 Vanne des moines - A ANALYSER/Em3 en bord de semois - output/wav post kaleidoscope/,__20160524_220928_224.wav,,PippiT,PippiT,Main,Pip50,10,PippiT,10,2016,5,24,22,9,24/05/2016,22:09,24/05/2016,,4,50,74,6,0,0,Vanne des Moines (Bord de Semois),EM3,T. Cambier,Divers Plecotus,,
H:/PlecoLUX - Thierry 2016/2016-05-24 Vanne des moines - A ANALYSER/Em3 en bord de semois - output/wav post kaleidoscope/,__20160524_220934_698.wav,,PippiT,PippiT,Main,Pip50,6,PippiT,6,2016,5,24,22,9,24/05/2016,22:09,24/05/2016,,65,46,73,6,3,0,Vanne des Moines (Bord de Semois),EM3,T. Cambier,Divers Plecotus,,
