Directory,File,Id_avant validation,Id,Validation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Site,Machine,Opérateur,Projet,Habitat1,Habitat2
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20170930_040717_000.wav,Myosp,Myosp,C. Brabant,Main,Myosp,7,Myoema,4,2017,9,30,4,7,30/09/2017,4:07,29/09/2017,S4U00311,73,57,0,2,0,3,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20170930_213114_000.wav,Myosp,Myosp,C. Brabant,Main,Myosp,7,Myoema,3,2017,9,30,21,31,30/09/2017,21:31,30/09/2017,S4U00311,51,57,0,2,1,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20170930_221546_000.wav,Myosp,Myosp,C. Brabant,Main,Myosp,6,Myoema,4,2017,9,30,22,15,30/09/2017,22:15,30/09/2017,S4U00311,39,53,0,1,2,1,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171001_025905_000.wav,Myosp,Myosp,C. Brabant,Main,Myosp,6,Myoema,3,2017,10,1,2,59,1/10/2017,2:59,30/09/2017,S4U00311,104,54,0,1,2,2,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171004_001734_000.wav,Myosp,Myosp,C. Brabant,Main,Myosp,7,Myoema,4,2017,10,4,0,17,4/10/2017,0:17,3/10/2017,S4U00311,20,68,0,1,0,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171004_002030_000.wav,Myosp,Myosp,C. Brabant,Main,Myosp,8,Myoema,2,2017,10,4,0,20,4/10/2017,0:20,3/10/2017,S4U00311,71,56,0,2,1,1,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171005_195257_000.wav,Myosp,Myosp,C. Brabant,Main,Myosp,7,Myoema,3,2017,10,5,19,52,5/10/2017,19:52,5/10/2017,S4U00311,107,57,0,4,4,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171011_192718_000.wav,Myosp,Myosp,C. Brabant,Main,Myosp,9,Myoema,4,2017,10,11,19,27,11/10/2017,19:27,11/10/2017,S4U00311,51,56,0,3,1,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171012_204442_000.wav,ChiroSp,Myosp,C. Brabant,Main,Myosp,5,Myoema,1,2017,10,12,20,44,12/10/2017,20:44,12/10/2017,S4U00311,94,53,0,2,2,3,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_043403_000.wav,ChiroSp,parasi,C. Brabant,Main,Myosp,1,Myoema,1,2017,10,13,4,34,13/10/2017,4:34,12/10/2017,S4U00311,1,74,0,1,0,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_051033_000.wav,parasi,parasi,C. Brabant,Main,parasi,2,parasi,0,2017,10,13,5,10,13/10/2017,5:10,12/10/2017,S4U00311,1,14,0,8,10,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_051121_000.wav,ChiroSp,parasi,C. Brabant,Main,ENVsp,1,Nyclei,1,2017,10,13,5,11,13/10/2017,5:11,12/10/2017,S4U00311,1,14,0,9,4,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_174900_000.wav,ChiroSp,parasi,,Main,ENVsp,0,Nyclas,0,2017,10,13,17,49,13/10/2017,17:49,13/10/2017,S4U00311,2,17,0,1,3,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_174905_000.wav,ChiroSp,parasi,,Main,Pip35,0,Pipnat,0,2017,10,13,17,49,13/10/2017,17:49,13/10/2017,S4U00311,2,41,0,1,0,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_174921_000.wav,parasi,parasi,,Main,parasi,1,parasi,1,2017,10,13,17,49,13/10/2017,17:49,13/10/2017,S4U00311,24,38,0,10,6,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_174929_000.wav,ChiroSp,parasi,,Main,Rhisp,3,Rhifer,3,2017,10,13,17,49,13/10/2017,17:49,13/10/2017,S4U00311,67,70,0,4,4,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_174929_000.wav,ChiroSp,parasi,,Secondary,Barbar,1,Barbar,1,2017,10,13,17,49,13/10/2017,17:49,13/10/2017,S4U00311,8,33,0,7,8,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_174934_000.wav,parasi,parasi,,Main,parasi,1,parasi,1,2017,10,13,17,49,13/10/2017,17:49,13/10/2017,S4U00311,10,43,0,8,5,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_174940_000.wav,parasi,parasi,,Main,parasi,0,parasi,0,2017,10,13,17,49,13/10/2017,17:49,13/10/2017,S4U00311,8,38,0,4,5,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_174946_000.wav,Rhihip,parasi,C. Brabant,Main,Rhisp,10,Rhihip,6,2017,10,13,17,49,13/10/2017,17:49,13/10/2017,S4U00311,14,62,0,10,6,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_174946_000.wav,parasi,parasi,,Secondary,parasi,2,parasi,2,2017,10,13,17,49,13/10/2017,17:49,13/10/2017,S4U00311,6,38,0,5,6,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_174951_000.wav,ChiroSp,parasi,,Main,Myosp,0,Myoema,0,2017,10,13,17,49,13/10/2017,17:49,13/10/2017,S4U00311,1,79,0,2,0,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_174953_000.wav,parasi,parasi,,Main,parasi,2,parasi,2,2017,10,13,17,49,13/10/2017,17:49,13/10/2017,S4U00311,43,89,0,3,6,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_174958_000.wav,parasi,parasi,,Main,parasi,0,parasi,0,2017,10,13,17,49,13/10/2017,17:49,13/10/2017,S4U00311,32,53,0,10,6,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_175008_000.wav,parasi,parasi,,Main,parasi,0,parasi,0,2017,10,13,17,50,13/10/2017,17:50,13/10/2017,S4U00311,70,55,0,10,8,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_175013_000.wav,parasi,parasi,,Main,parasi,0,parasi,0,2017,10,13,17,50,13/10/2017,17:50,13/10/2017,S4U00311,86,55,0,10,9,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_175018_000.wav,parasi,parasi,,Main,parasi,3,parasi,3,2017,10,13,17,50,13/10/2017,17:50,13/10/2017,S4U00311,118,62,0,9,8,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_175025_000.wav,parasi,parasi,,Main,parasi,1,parasi,1,2017,10,13,17,50,13/10/2017,17:50,13/10/2017,S4U00311,96,37,0,10,10,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_175030_000.wav,parasi,parasi,,Main,parasi,0,parasi,0,2017,10,13,17,50,13/10/2017,17:50,13/10/2017,S4U00311,151,57,0,10,10,1,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_175035_000.wav,Rhisp,parasi,C. Brabant,Main,Rhisp,7,Rhifer,3,2017,10,13,17,50,13/10/2017,17:50,13/10/2017,S4U00311,177,76,0,8,7,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_175035_000.wav,parasi,parasi,,Secondary,parasi,2,parasi,2,2017,10,13,17,50,13/10/2017,17:50,13/10/2017,S4U00311,22,23,0,8,9,1,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_175042_000.wav,parasi,parasi,,Main,parasi,4,parasi,4,2017,10,13,17,50,13/10/2017,17:50,13/10/2017,S4U00311,89,31,0,10,9,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_175047_000.wav,parasi,parasi,,Main,parasi,0,parasi,0,2017,10,13,17,50,13/10/2017,17:50,13/10/2017,S4U00311,101,56,0,10,10,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_175052_000.wav,ChiroSp,parasi,,Main,Pip50,0,Pippyg,0,2017,10,13,17,50,13/10/2017,17:50,13/10/2017,S4U00311,637,66,0,2,8,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
F:/2017/SM4Brux/Sons/WAV/,S4U00311_20171013_175052_000.wav,Rhisp,parasi,C. Brabant,Secondary,Rhisp,8,Rhifer,3,2017,10,13,17,50,13/10/2017,17:50,13/10/2017,S4U00311,27,73,0,10,5,0,ligne 161 - DB6,SM4Brux,C. Brabant,Plecobrux,"Cavité - carrière, mine et grotte",
