Dossier;Fichier;Id_avant validation;Id;Validation;Contact;Groupe;IGp;Espece;ISp;Annee;Mois;Jour;Heure;Minute;Date;Temps;Date_nuit;Lieu;NbCris;Fdom;IntMed;Iqual;Ics;Ibuz;Site ;X-WGS84;Y-WGS84;X;Y;Habitat1;Habitat2;Machine;Opérateur;Projet
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/;A-LPB_20180807_212109_000.wav;PippiT;PippiT;;Principal;Pip50;9;PippiT;9;2018;8;7;21;21;07-08-18;21:21;07-08-18;A-LPB;6;45;84;5;1;0;Réserve d'Aye;50°12'53'';5°17'48'';216236;100824;Prairie;Bande boisée et alignement d'arbres;SM2-A;C. Brabant et P. Lighezzolo;Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/;A-LPB_20180807_212809_000.wav;PippiT;PippiT;;Principal;Pip50;10;PippiT;10;2018;8;7;21;28;07-08-18;21:28;07-08-18;A-LPB;26;48;83;5;0;0;Réserve d'Aye;50°12'53'';5°17'48'';216236;100824;Prairie;Bande boisée et alignement d'arbres;SM2-A;C. Brabant et P. Lighezzolo;Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/;A-LPB_20180807_212814_000.wav;PippiT;PippiT;;Principal;Pip50;10;PippiT;10;2018;8;7;21;28;07-08-18;21:28;07-08-18;A-LPB;11;45;75;6;1;0;Réserve d'Aye;50°12'53'';5°17'48'';216236;100824;Prairie;Bande boisée et alignement d'arbres;SM2-A;C. Brabant et P. Lighezzolo;Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/;A-LPB_20180807_212829_000.wav;PippiT;PippiT;;Principal;Pip50;10;PippiT;10;2018;8;7;21;28;07-08-18;21:28;07-08-18;A-LPB;16;46;80;6;0;0;Réserve d'Aye;50°12'53'';5°17'48'';216236;100824;Prairie;Bande boisée et alignement d'arbres;SM2-A;C. Brabant et P. Lighezzolo;Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/;A-LPB_20180807_212834_000.wav;PippiT;PippiT;;Principal;Pip50;10;PippiT;10;2018;8;7;21;28;07-08-18;21:28;07-08-18;A-LPB;4;46;63;5;0;0;Réserve d'Aye;50°12'53'';5°17'48'';216236;100824;Prairie;Bande boisée et alignement d'arbres;SM2-A;C. Brabant et P. Lighezzolo;Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/;A-LPB_20180807_212839_000.wav;PippiT;PippiT;;Principal;Pip50;10;PippiT;10;2018;8;7;21;28;07-08-18;21:28;07-08-18;A-LPB;3;46;55;6;0;0;Réserve d'Aye;50°12'53'';5°17'48'';216236;100824;Prairie;Bande boisée et alignement d'arbres;SM2-A;C. Brabant et P. Lighezzolo;Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/;A-LPB_20180807_212844_000.wav;PippiT;PippiT;;Principal;Pip50;10;PippiT;10;2018;8;7;21;28;07-08-18;21:28;07-08-18;A-LPB;9;45;82;6;2;0;Réserve d'Aye;50°12'53'';5°17'48'';216236;100824;Prairie;Bande boisée et alignement d'arbres;SM2-A;C. Brabant et P. Lighezzolo;Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/;A-LPB_20180807_212849_000.wav;PippiT;PippiT;;Principal;Pip50;10;PippiT;10;2018;8;7;21;28;07-08-18;21:28;07-08-18;A-LPB;22;45;78;6;1;0;Réserve d'Aye;50°12'53'';5°17'48'';216236;100824;Prairie;Bande boisée et alignement d'arbres;SM2-A;C. Brabant et P. Lighezzolo;Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/;A-LPB_20180807_212854_000.wav;PippiT;PippiT;;Principal;Pip50;10;PippiT;10;2018;8;7;21;28;07-08-18;21:28;07-08-18;A-LPB;17;45;66;6;1;0;Réserve d'Aye;50°12'53'';5°17'48'';216236;100824;Prairie;Bande boisée et alignement d'arbres;SM2-A;C. Brabant et P. Lighezzolo;Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/;A-LPB_20180807_212859_000.wav;PippiT;PippiT;;Principal;Pip50;10;PippiT;10;2018;8;7;21;28;07-08-18;21:28;07-08-18;A-LPB;12;44;80;6;0;0;Réserve d'Aye;50°12'53'';5°17'48'';216236;100824;Prairie;Bande boisée et alignement d'arbres;SM2-A;C. Brabant et P. Lighezzolo;Life Prairies Bocagères
