Directory,File,Validation,Id,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Site,Opérateur,Habitat1,Habitat2,Machine,Projet
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_224225_149.wav,,PippiT,Main,Pip50,9,PippiT,9,2014,6,3,22,42,3/06/2014,22:42,3/06/2014,SM2-1,38,44,79,8,4,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_224819_406.wav,,PippiT,Main,Pip50,10,PippiT,10,2014,6,3,22,48,3/06/2014,22:48,3/06/2014,SM2-1,35,47,111,10,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_224824_407.wav,,PippiT,Main,Pip50,10,PippiT,10,2014,6,3,22,48,3/06/2014,22:48,3/06/2014,SM2-1,8,46,0,7,3,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_224952_336.wav,,PippiT,Main,Pip50,10,PippiT,10,2014,6,3,22,49,3/06/2014,22:49,3/06/2014,SM2-1,131,47,0,5,3,1,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_224957_337.wav,,PippiT,Main,Pip50,9,PippiT,9,2014,6,3,22,49,3/06/2014,22:49,3/06/2014,SM2-1,12,47,74,7,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_225217_668.wav,,PippiT,Main,Pip50,6,PippiT,6,2014,6,3,22,52,3/06/2014,22:52,3/06/2014,SM2-1,83,46,0,5,2,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_225222_669.wav,,ChiroSp,Main,Pip50,4,PippiT,4,2014,6,3,22,52,3/06/2014,22:52,3/06/2014,SM2-1,47,45,0,4,2,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_225226_947.wav,,ChiroSp,Main,Pip50,4,PippiT,4,2014,6,3,22,52,3/06/2014,22:52,3/06/2014,SM2-1,43,47,83,6,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_225231_948.wav,,PippiT,Main,Pip50,7,PippiT,7,2014,6,3,22,52,3/06/2014,22:52,3/06/2014,SM2-1,47,46,77,4,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_225236_948.wav,P. Nyssen,PippiT,Main,Myosp,0,Myobra,0,2014,6,3,22,52,3/06/2014,22:52,3/06/2014,SM2-1,7,46,79,4,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_225247_842.wav,,ChiroSp,Main,Pip50,5,PippiT,5,2014,6,3,22,52,3/06/2014,22:52,3/06/2014,SM2-1,45,45,85,6,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_225444_049.wav,,PippiT,Main,Pip50,10,PippiT,10,2014,6,3,22,54,3/06/2014,22:54,3/06/2014,SM2-1,39,46,104,9,1,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_225514_861.wav,,PippiT,Main,Pip50,10,PippiT,10,2014,6,3,22,55,3/06/2014,22:55,3/06/2014,SM2-1,49,48,79,8,1,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_225519_862.wav,,PippiT,Main,Pip50,10,PippiT,10,2014,6,3,22,55,3/06/2014,22:55,3/06/2014,SM2-1,18,47,88,6,1,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_225608_082.wav,,PippiT,Main,Pip50,10,PippiT,10,2014,6,3,22,56,3/06/2014,22:56,3/06/2014,SM2-1,29,45,154,9,1,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_225921_864.wav,,PippiT,Main,Pip50,10,PippiT,10,2014,6,3,22,59,3/06/2014,22:59,3/06/2014,SM2-1,22,46,109,8,2,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
