Directory,File,Validation,Id,Id_avantvalidation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Opérateur,Site,Habitat1,Habitat2,Machine,Projet
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_214702_616.wav,A. Mazurie,parasi,Rhihip,Main,Rhisp,10,Rhihip,10,2014,6,4,21,47,4/06/2014,21:47,4/06/2014,LIFEB_0,7,106,0,8,0,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_214830_929.wav,A. Mazurie,Rhihip,Rhihip,Main,Rhisp,10,Rhihip,10,2014,6,4,21,48,4/06/2014,21:48,4/06/2014,LIFEB_0,15,94,0,6,0,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_222033_905.wav,,ChiroSp,ChiroSp,Main,Myosp,5,Myobra,2,2014,6,4,22,20,4/06/2014,22:20,4/06/2014,LIFEB_0,16,53,0,2,0,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_224942_950.wav,A. Mazurie,parasi,ChiroSp,Main,Rhisp,1,Rhihip,1,2014,6,4,22,49,4/06/2014,22:49,4/06/2014,LIFEB_0,2,89,0,3,0,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_225842_768.wav,,ChiroSp,ChiroSp,Main,Myosp,5,Myoema,0,2014,6,4,22,58,4/06/2014,22:58,4/06/2014,LIFEB_0,11,56,0,2,0,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_225847_334.wav,,ChiroSp,ChiroSp,Main,Myosp,5,Myoema,1,2014,6,4,22,58,4/06/2014,22:58,4/06/2014,LIFEB_0,44,56,0,2,2,1,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_225852_335.wav,,ChiroSp,ChiroSp,Main,Myosp,5,Myoema,0,2014,6,4,22,58,4/06/2014,22:58,4/06/2014,LIFEB_0,28,56,63,2,1,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_225940_230.wav,,ChiroSp,ChiroSp,Main,Myosp,4,Myoema,3,2014,6,4,22,59,4/06/2014,22:59,4/06/2014,LIFEB_0,8,56,74,1,0,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_231449_574.wav,,Myosp,Myosp,Main,Myosp,6,Myoema,3,2014,6,4,23,14,4/06/2014,23:14,4/06/2014,LIFEB_0,25,56,0,2,0,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_231517_690.wav,,ChiroSp,ChiroSp,Main,Myosp,5,Myoema,1,2014,6,4,23,15,4/06/2014,23:15,4/06/2014,LIFEB_0,65,57,0,1,3,1,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
