Dossier,Fichier,Id_avant validation,Id,Validation,Contact,Groupe,IGp,Espece,ISp,Annee,Mois,Jour,Heure,Minute,Date,Temps,Date_nuit,Lieu,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,site,N° appareil
F:/batlogger/20170918_BL_Ukkel_802/WAV/,22980090_20170907_00000_000.wav,ChiroSp,parasi,P. Nyssen,Principal,Myosp,0,Myobec,0,2017,9,7,-,-,7/09/2017,-,-,-,1,40,1,2,4,0,1) abri animaux,18802
F:/batlogger/20170918_BL_Ukkel_802/WAV/,22980149_20170907_00000_000.wav,parasi,parasi,,Principal,parasi,0,parasi,0,2017,9,7,-,-,7/09/2017,-,-,-,2,41,0,3,2,0,1) abri animaux,18802
F:/batlogger/20170918_BL_Ukkel_802/WAV/,22980159_20170907_00000_000.wav,ChiroSp,ChiroSp,,Principal,Pip35,1,Pipkuh,1,2017,9,7,-,-,7/09/2017,-,-,-,2,45,0,1,1,0,1) abri animaux,18802
F:/batlogger/20170918_BL_Ukkel_802/WAV/,22980339_20170907_00000_000.wav,parasi,parasi,,Principal,parasi,1,parasi,1,2017,9,7,-,-,7/09/2017,-,-,-,6,46,0,3,2,0,1) abri animaux,18802
F:/batlogger/20170918_BL_Ukkel_802/WAV/,22980408_20170907_00000_000.wav,ChiroSp,parasi,P. Nyssen,Principal,Myosp,1,Myodau,1,2017,9,7,-,-,7/09/2017,-,-,-,1,40,0,2,0,0,1) abri animaux,18802
F:/batlogger/20170918_BL_Ukkel_802/WAV/,22980547_20170907_00000_000.wav,ChiroSp,ChiroSp,,Principal,Myosp,0,Myobra,0,2017,9,7,-,-,7/09/2017,-,-,-,4,40,0,2,3,0,1) abri animaux,18802
F:/batlogger/20170918_BL_Ukkel_802/WAV/,22980599_20170907_00000_000.wav,ChiroSp,ChiroSp,,Principal,Myosp,1,Myobra,1,2017,9,7,-,-,7/09/2017,-,-,-,1,46,0,1,0,0,1) abri animaux,18802
F:/batlogger/20170918_BL_Ukkel_802/WAV/,22980603_20170907_00000_000.wav,parasi,parasi,,Principal,parasi,0,parasi,0,2017,9,7,-,-,7/09/2017,-,-,-,2,37,0,2,2,0,1) abri animaux,18802
F:/batlogger/20170918_BL_Ukkel_802/WAV/,22980635_20170907_00000_000.wav,parasi,parasi,,Principal,parasi,0,parasi,0,2017,9,7,-,-,7/09/2017,-,-,-,3,42,0,3,1,0,1) abri animaux,18802
F:/batlogger/20170918_BL_Ukkel_802/WAV/,22980636_20170907_00000_000.wav,ChiroSp,parasi,P. Nyssen,Principal,Barbar,1,Barbar,1,2017,9,7,-,-,7/09/2017,-,-,-,3,41,0,5,2,0,1) abri animaux,18802
