Dossier,Fichier,Id_avant validation,Id,Validation,Opérateur,Contact,Groupe,IGp,Espece,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Lieu,Site,Habitat1,Habitat2,habitat3,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,Remarques,Projet,Machine,Micro
F:/Barbalux 2017/SM4G/,G-BARBA_20170601_232828_000.wav,Myomyo,Myomyo,Q. Smits,P. Verté,Principal,Myosp,8,Myomyo,8,2017,6,1,23,28,1/06/2017,23:28,1/06/2017,G-BARBA,Grande Vaux,,,,31,29,139,9,1,0,,Barba_Lux 2017,SM4-G,
F:/Barbalux 2017/SM4G/,G-BARBA_20170602_005301_000.wav,Myobec,Myobec,Q. Smits,P. Verté,Principal,Myosp,9,Myobec,7,2017,6,2,0,53,2/06/2017,0:53,1/06/2017,G-BARBA,Grande Vaux,,,,19,36,112,9,1,0,Très bon fichier !,Barba_Lux 2017,SM4-G,
F:/Barbalux 2017/SM4G/,G-BARBA_20170602_021708_000.wav,Eptser,Eptser,Q. Smits,P. Verté,Principal,ENVsp,10,Eptser,6,2017,6,2,2,17,2/06/2017,2:17,1/06/2017,G-BARBA,Grande Vaux,,,,19,26,148,10,0,0,,Barba_Lux 2017,SM4-G,
F:/Barbalux 2017/SM4G/,G-BARBA_20170604_221201_000.wav,Nyclei,Nyclei,Q. Smits,P. Verté,Principal,ENVsp,8,Nyclei,6,2017,6,4,22,12,4/06/2017,22:12,4/06/2017,G-BARBA,Grande Vaux,,,,18,22,231,8,0,0,,Barba_Lux 2017,SM4-G,
F:/Barbalux 2017/SM4G/,G-BARBA_20170604_221229_000.wav,Nyclei,Nyclei,Q. Smits,P. Verté,Secondaire,ENVsp,6,Nyclei,6,2017,6,4,22,12,4/06/2017,22:12,4/06/2017,G-BARBA,Grande Vaux,,,,18,23,42,10,4,0,,Barba_Lux 2017,SM4-G,
F:/Barbalux 2017/SM4G/,G-BARBA_20170604_221234_000.wav,Nyclei,Nyclei,Q. Smits,P. Verté,Principal,ENVsp,8,Nyclei,8,2017,6,4,22,12,4/06/2017,22:12,4/06/2017,G-BARBA,Grande Vaux,,,,6,21,261,8,0,0,,Barba_Lux 2017,SM4-G,
F:/Barbalux 2017/SM4G/,G-BARBA_20170604_222751_000.wav,Nycnoc,ENVsp,Q. Smits,P. Verté,Secondaire,ENVsp,8,Nycnoc,7,2017,6,4,22,27,4/06/2017,22:27,4/06/2017,G-BARBA,Grande Vaux,,,,28,27,14,10,10,10,Bon rec mais limite FM/QFC pas caractéristique,Barba_Lux 2017,SM4-G,
F:/Barbalux 2017/SM4G/,G-BARBA_20170605_044755_000.wav,Pipnat,Pipnat,Q. Smits,P. Verté,Principal,Pip35,10,Pipnat,9,2017,6,5,4,47,5/06/2017,4:47,4/06/2017,G-BARBA,Grande Vaux,,,,30,41,155,10,2,0,,Barba_Lux 2017,SM4-G,
F:/Barbalux 2017/SM4G/,G-BARBA_20170609_005727_000.wav,Myosp,Myosp,Q. Smits,P. Verté,Principal,Myosp,9,Myoalc,3,2017,6,9,0,57,9/06/2017,0:57,8/06/2017,G-BARBA,Moulin Luxeroth,,,,19,50,0,5,0,0,,Barba_Lux 2017,SM4-G,
F:/Barbalux 2017/SM4G/,G-BARBA_20170613_224001_000.wav,Myonat,Myonat,Q. Smits,P. Verté,Principal,Myosp,9,Myonat,9,2017,6,13,22,40,13/06/2017,22:40,13/06/2017,G-BARBA,ruisseau de Nothomb,,,,40,40,0,2,2,2,,Barba_Lux 2017,SM4-G,
F:/Barbalux 2017/SM4G/,G-BARBA_20170614_222210_000.wav,Nyclei,Nyclei,Q. Smits,P. Verté,Principal,ENVsp,6,Nyclei,6,2017,6,14,22,22,14/06/2017,22:22,14/06/2017,G-BARBA,Pré aval grendel,,,,20,23,181,8,2,0,,Barba_Lux 2017,SM4-G,
F:/Barbalux 2017/SM4G/,G-BARBA_20170615_225853_000.wav,Pipnat,Pip35,Q. Smits,P. Verté,Principal,Pip35,6,Pipnat,6,2017,6,15,22,58,15/06/2017,22:58,15/06/2017,G-BARBA,Pré aval grendel,,,,4,41,0,7,5,0,,Barba_Lux 2017,SM4-G,
F:/Barbalux 2017/SM4G/,G-BARBA_20170616_005546_000.wav,ChiroSp,Myodau,Q. Smits,P. Verté,Principal,Barbar,3,Barbar,3,2017,6,16,0,55,16/06/2017,0:55,15/06/2017,G-BARBA,Pré aval grendel,,,,39,41,0,6,10,0,,Barba_Lux 2017,SM4-G,
F:/Barbalux 2017/SM4G/,G-BARBA_20170616_232559_000.wav,ChiroSp,Myodau,Q. Smits,P. Verté,Principal,Barbar,5,Barbar,4,2017,6,16,23,25,16/06/2017,23:25,16/06/2017,G-BARBA,Pré aval grendel,,,,22,42,0,6,8,0,,Barba_Lux 2017,SM4-G,
F:/Barbalux 2017/SM4G/,G-BARBA_20170616_232914_000.wav,ChiroSp,Myodau,Q. Smits,P. Verté,Principal,Barbar,1,Barbar,1,2017,6,16,23,29,16/06/2017,23:29,16/06/2017,G-BARBA,Pré aval grendel,,,,9,44,90,6,7,0,,Barba_Lux 2017,SM4-G,
