Dossier,Fichier,Id_avant validation,Id,Validation,Opérateur,Contact,Groupe,IGp,Espece,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Lieu,Machine,Site,Habitat1,Habitat2,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,Projet
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_221641_002.wav,PippiT,PippiT,C. Brabant,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,7,22,16,7/07/2018,22:16,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",27,50,86,5,1,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_231135_002.wav,Myosp,Myobec,C. Brabant,"Q. Smits, B. Molitor",Principal,Myosp,8,Myobec,4,2018,7,7,23,11,7/07/2018,23:11,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",12,36,98,7,1,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180707_231140_002.wav,Myosp,Myosp,C. Brabant,"Q. Smits, B. Molitor",Principal,Myosp,7,Myobec,3,2018,7,7,23,11,7/07/2018,23:11,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",14,36,85,6,1,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180708_004222_002.wav,ChiroSp,Myomyo,C. Brabant,"Q. Smits, B. Molitor",Principal,Myosp,4,Myomyo,4,2018,7,8,0,42,8/07/2018,0:42,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",14,30,168,5,2,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180708_004227_002.wav,ChiroSp,Myomyo,C. Brabant,"Q. Smits, B. Molitor",Principal,Myosp,5,Myomyo,5,2018,7,8,0,42,8/07/2018,0:42,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",9,29,132,6,2,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180708_013412_002.wav,ChiroSp,ChiroSp,C. Brabant,"Q. Smits, B. Molitor",Principal,Rhisp,4,Rhihip,4,2018,7,8,1,34,8/07/2018,1:34,7/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",1,46,0,4,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180708_225034_002.wav,Myosp,Myosp,C. Brabant,"Q. Smits, B. Molitor",Principal,Myosp,9,Myobec,2,2018,7,8,22,50,8/07/2018,22:50,8/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",29,36,91,6,2,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180708_231521_002.wav,PippiT,PippiT,C. Brabant,"Q. Smits, B. Molitor",Principal,Pip50,10,PippiT,10,2018,7,8,23,15,8/07/2018,23:15,8/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",12,47,67,5,1,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180709_003408_002.wav,Barbar,Barbar,C. Brabant,"Q. Smits, B. Molitor",Principal,Barbar,8,Barbar,8,2018,7,9,0,34,9/07/2018,0:34,8/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",12,34,204,7,1,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180709_012132_002.wav,ChiroSp,ChiroSp,C. Brabant,"Q. Smits, B. Molitor",Principal,Rhisp,1,Rhihip,1,2018,7,9,1,21,9/07/2018,1:21,8/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",1,45,0,5,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180709_012204_002.wav,Rhisp,ChiroSp,C. Brabant,"Q. Smits, B. Molitor",Principal,Rhisp,7,Rhihip,5,2018,7,9,1,22,9/07/2018,1:22,8/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",1,44,0,4,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180709_013038_002.wav,Pleaus,Plesp,C. Brabant,"Q. Smits, B. Molitor",Principal,Plesp,8,Pleaus,7,2018,7,9,1,30,9/07/2018,1:30,8/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",27,28,96,6,3,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180709_013043_002.wav,Pleaus,Plesp,C. Brabant,"Q. Smits, B. Molitor",Principal,Plesp,9,Pleaus,7,2018,7,9,1,30,9/07/2018,1:30,8/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",20,26,123,6,1,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180709_025730_002.wav,Myosp,Myosp,C. Brabant,"Q. Smits, B. Molitor",Principal,Myosp,10,Myomys,2,2018,7,9,2,57,9/07/2018,2:57,8/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",5,47,84,5,0,0,Barba_Lux
F:/BarbaLux/SM4G/wav analyse/,G-BARBA_20180709_034420_002.wav,ChiroSp,ChiroSp,C. Brabant,"Q. Smits, B. Molitor",Principal,Barbar,1,Barbar,1,2018,7,9,3,44,9/07/2018,3:44,8/07/2018,G-BARBA,SM4-G,Bois de la casquette_Bouillon,Forêt feuillue,"Route (induré, circulation véhicule rapide)",1,37,0,4,0,0,Barba_Lux
