Directory,File,File_2,Id_avant validation,Id,Validation,Opérateur,Contact,Groupe,IGp,Espece,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,Site,Habitat1,Habitat2,Habitat3,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,Projet,Remarques,Fichier,Loca_disque,Machine
G:/Barba_Lux/SM2-2/wav/partie2/,2-BARBA_20160508_215229_000.wav,2-BARBA_20160508_215229_000.wav,Pipnat,Pipnat,A. Flipo,P. Verte,Secondaire,Pip35,10,Pipnat,6,2016,5,8,21,52,8/05/2016,21:52,8/05/2016,2-BARBA,Lisière sud Parc forestier Bellefontaine,Lisière vraie (milieu ouvert/milieux forestier),,,9,41,0,7,5,0,Barbalux,,Pierrette,G:/Barba_Lux,SM2-2
G:/Barba_Lux/SM2-2/wav/partie2/,2-BARBA_20160509_003422_459.wav,2-BARBA_20160509_003422_459.wav,ENVsp,ENVsp,A. Flipo,P. Verte,Principal,ENVsp,7,Nyclei,3,2016,5,9,0,34,9/05/2016,0:34,8/05/2016,2-BARBA,Lisière sud Parc forestier Bellefontaine,Lisière vraie (milieu ouvert/milieux forestier),,,24,24,159,7,1,0,Barbalux,,Pierrette,G:/Barba_Lux,SM2-2
G:/Barba_Lux/SM2-2/wav/partie2/,2-BARBA_20160509_003432_459.wav,2-BARBA_20160509_003432_459.wav,ChiroSp,ENVsp,A. Flipo,P. Verte,Principal,ENVsp,3,Nyclei,3,2016,5,9,0,34,9/05/2016,0:34,8/05/2016,2-BARBA,Lisière sud Parc forestier Bellefontaine,Lisière vraie (milieu ouvert/milieux forestier),,,5,23,5,7,0,0,Barbalux,,Pierrette,G:/Barba_Lux,SM2-2
G:/Barba_Lux/SM2-2/wav/partie2/,2-BARBA_20160509_003847_181.wav,2-BARBA_20160509_003847_181.wav,ENVsp,Eptser,A. Flipo,P. Verte,Secondaire,ENVsp,10,Eptser,0,2016,5,9,0,38,9/05/2016,0:38,8/05/2016,2-BARBA,Lisière sud Parc forestier Bellefontaine,Lisière vraie (milieu ouvert/milieux forestier),,,13,27,176,7,2,0,Barbalux,,Pierrette,G:/Barba_Lux,SM2-2
G:/Barba_Lux/SM2-2/wav/partie2/,2-BARBA_20160509_021527_944.wav,2-BARBA_20160509_021527_944.wav,PippiT,PippiT,P. Nyssen,P. Verte,Principal,Pip50,10,PippiT,10,2016,5,9,2,15,9/05/2016,2:15,8/05/2016,2-BARBA,Lisière sud Parc forestier Bellefontaine,Lisière vraie (milieu ouvert/milieux forestier),,,10,46,0,5,2,0,Barbalux,,Pierrette,G:/Barba_Lux,SM2-2
G:/Barba_Lux/SM2-2/wav/partie2/,2-BARBA_20160509_022441_315.wav,2-BARBA_20160509_022441_315.wav,ENVsp,Eptser,A. Flipo,P. Verte,Principal,ENVsp,10,Eptser,4,2016,5,9,2,24,9/05/2016,2:24,8/05/2016,2-BARBA,Lisière sud Parc forestier Bellefontaine,Lisière vraie (milieu ouvert/milieux forestier),,,16,25,190,7,3,0,Barbalux,,Pierrette,G:/Barba_Lux,SM2-2
G:/Barba_Lux/SM2-2/wav/partie2/,2-BARBA_20160509_031656_437.wav,2-BARBA_20160509_031656_437.wav,Rhifer,Rhifer,P. Nyssen,P. Verte,Principal,Rhisp,10,Rhifer,10,2016,5,9,3,16,9/05/2016,3:16,8/05/2016,2-BARBA,Lisière sud Parc forestier Bellefontaine,Lisière vraie (milieu ouvert/milieux forestier),,,70,81,0,8,3,0,Barbalux,,Pierrette,G:/Barba_Lux,SM2-2
G:/Barba_Lux/SM2-2/wav/partie2/,2-BARBA_20160509_031656_437.wav,2-BARBA_20160509_031656_437.wav,ENVsp,Eptser,P. Nyssen,P. Verte,Secondaire,ENVsp,10,Eptser,3,2016,5,9,3,16,9/05/2016,3:16,8/05/2016,2-BARBA,Lisière sud Parc forestier Bellefontaine,Lisière vraie (milieu ouvert/milieux forestier),,,4,24,398,6,0,0,Barbalux,,Pierrette,G:/Barba_Lux,SM2-2
G:/Barba_Lux/SM2-2/wav/partie2/,2-BARBA_20160509_031701_437.wav,2-BARBA_20160509_031701_437.wav,Rhifer,Rhifer,P. Nyssen,P. Verte,Principal,Rhisp,10,Rhifer,10,2016,5,9,3,17,9/05/2016,3:17,8/05/2016,2-BARBA,Lisière sud Parc forestier Bellefontaine,Lisière vraie (milieu ouvert/milieux forestier),,,7,28,0,7,4,0,Barbalux,,Pierrette,G:/Barba_Lux,SM2-2
G:/Barba_Lux/SM2-2/wav/partie2/,2-BARBA_20160509_032135_017.wav,2-BARBA_20160509_032135_017.wav,Rhifer,Rhifer,P. Nyssen,P. Verte,Secondaire,Rhisp,10,Rhifer,10,2016,5,9,3,21,9/05/2016,3:21,8/05/2016,2-BARBA,Lisière sud Parc forestier Bellefontaine,Lisière vraie (milieu ouvert/milieux forestier),,,10,80,0,8,0,0,Barbalux,,Pierrette,G:/Barba_Lux,SM2-2
G:/Barba_Lux/SM2-2/wav/partie2/,2-BARBA_20160509_032209_000.wav,2-BARBA_20160509_032209_000.wav,Rhifer,Rhifer,A. Flipo,P. Verte,Secondaire,Rhisp,10,Rhifer,10,2016,5,9,3,22,9/05/2016,3:22,8/05/2016,2-BARBA,Lisière sud Parc forestier Bellefontaine,Lisière vraie (milieu ouvert/milieux forestier),,,4,80,0,8,0,0,Barbalux,,Pierrette,G:/Barba_Lux,SM2-2
G:/Barba_Lux/SM2-2/wav/partie2/,2-BARBA_20160509_032214_000.wav,2-BARBA_20160509_032214_000.wav,Rhifer,Rhifer,A. Flipo,P. Verte,Secondaire,Rhisp,7,Rhifer,7,2016,5,9,3,22,9/05/2016,3:22,8/05/2016,2-BARBA,Lisière sud Parc forestier Bellefontaine,Lisière vraie (milieu ouvert/milieux forestier),,,4,50,0,8,0,0,Barbalux,,Pierrette,G:/Barba_Lux,SM2-2
