Directory,File,Id-avant-validation,Id,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Opérateur,Site,Habitat1,Habitat2,SM2,Validation,Machine,Projet,Commentaires
G:/SM2B - OrpJauche - CavesPahaut/,0_20131002_191700_000.wav,PippiT,PippiT,Main,Pip50,10,PippiT,6,2013,10,2,19,17,2/10/2013,19:17,2/10/2013,0,83,51,0,5,1,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,A. Mazurie,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131003_042709_747.wav,ChiroSp,Myosp,Main,Rhisp,2,Rhihip,2,2013,10,3,4,27,3/10/2013,4:27,2/10/2013,0,1,87,0,3,0,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,A. Mazurie,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131003_055408_312.wav,Myoema,Myoema,Main,Myosp,7,Myoema,7,2013,10,3,5,54,3/10/2013,5:54,2/10/2013,0,18,68,45,1,0,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,A. Mazurie,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131003_224001_062.wav,ChiroSp,PippiT,Secondary,Barbar,2,Barbar,2,2013,10,3,22,40,3/10/2013,22:40,3/10/2013,0,2,32,0,4,5,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,A. Mazurie,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131003_224011_767.wav,ChiroSp,Pippyg,Secondary,Barbar,1,Barbar,1,2013,10,3,22,40,3/10/2013,22:40,3/10/2013,0,2,32,9,3,7,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,A. Mazurie,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131004_224410_739.wav,ChiroSp,Pleaur,Main,Barbar,0,Barbar,0,2013,10,4,22,44,4/10/2013,22:44,4/10/2013,0,12,29,29,6,8,5,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,A. Mazurie,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131004_233022_383.wav,Myoema,Myoema,Main,Myosp,8,Myoema,8,2013,10,4,23,30,4/10/2013,23:30,4/10/2013,0,11,81,0,0,0,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,A. Mazurie,SM2-B,Divers Plecotus,
G:/SM2B - OrpJauche - CavesPahaut/,0_20131005_020402_762.wav,ChiroSp,ChiroSp,Secondary,Barbar,1,Barbar,1,2013,10,5,2,4,5/10/2013,2:04,4/10/2013,0,2,26,4,6,8,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,A. Mazurie,SM2-B,Divers Plecotus,Cris sociaux
G:/SM2B - OrpJauche - CavesPahaut/,0_20131005_211132_852.wav,ChiroSp,ChiroSp,Main,Rhisp,1,Rhifer,1,2013,10,5,21,11,5/10/2013,21:11,5/10/2013,0,8,66,11,7,8,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,A. Mazurie,SM2-B,Divers Plecotus,Cris sociaux
G:/SM2B - OrpJauche - CavesPahaut/,0_20131005_211347_981.wav,Rhisp,ChiroSp,Main,Rhisp,9,Rhifer,4,2013,10,5,21,13,5/10/2013,21:13,5/10/2013,0,5,66,0,6,5,0,D. Lafontaine,Caves Pahaut,"Cavité - carrière, mine et grotte","Route (induré, circulation véhicule rapide)",,A. Mazurie,SM2-B,Divers Plecotus,Cris sociaux
