Dossier,Fichier,Id_avant validation,Id,Validation,Opérateur,Contact,Groupe,IGp,Espece,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Machine,Site,Habitat1,Habitat2,H3,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,Projet
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180607_224711_002.wav,Myosp,Myosp,Smits Q.,Verte P.,Principal,Myosp,6,Myobec,0,2018,6,7,22,47,7/06/2018,22:47,7/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,31,40,99,5,1,0,Barbalux
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180607_225211_002.wav,ENVsp,Eptser,Smits Q.,Verte P.,Principal,ENVsp,10,Eptser,4,2018,6,7,22,52,7/06/2018,22:52,7/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,22,23,236,9,6,0,Barbalux
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180607_225437_002.wav,ENVsp,Eptser,Smits Q.,Verte P.,Principal,ENVsp,10,Nycnoc,2,2018,6,7,22,54,7/06/2018,22:54,7/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,26,26,134,9,3,0,Barbalux
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180608_020624_002.wav,Myonat,Myonat,Smits Q.,Verte P.,Principal,Myosp,8,Myonat,7,2018,6,8,2,6,8/06/2018,2:06,7/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,14,44,102,4,0,0,Barbalux
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180608_021607_002.wav,Plesp,Plesp,Smits Q.,Verte P.,Principal,Plesp,10,Pleaur,1,2018,6,8,2,16,8/06/2018,2:16,7/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,20,26,223,7,1,0,Barbalux
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180608_022508_002.wav,ENVsp,Nyclei,Smits Q.,Verte P.,Principal,ENVsp,6,Nyclei,5,2018,6,8,2,25,8/06/2018,2:25,7/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,11,22,353,8,1,0,Barbalux
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180608_031627_002.wav,Myosp,Myosp,Smits Q.,Verte P.,Principal,Myosp,10,Myobra,0,2018,6,8,3,16,8/06/2018,3:16,7/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,5,47,90,3,0,0,Barbalux
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180608_035113_002.wav,ENVsp,Nyclei,Smits Q.,Verte P.,Principal,ENVsp,9,Nyclei,5,2018,6,8,3,51,8/06/2018,3:51,7/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,8,23,287,10,0,0,Barbalux
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180608_044342_002.wav,Myonat,Myonat,Smits Q.,Verte P.,Principal,Myosp,7,Myonat,7,2018,6,8,4,43,8/06/2018,4:43,7/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,46,35,92,5,3,0,Barbalux
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180608_045041_002.wav,ChiroSp,PippiT,Smits Q.,Verte P.,Principal,Rhisp,2,Rhihip,2,2018,6,8,4,50,8/06/2018,4:50,7/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,1,46,0,6,0,0,Barbalux
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180608_230022_002.wav,ENVsp,ENVsp,Smits Q.,Verte P.,Principal,ENVsp,10,Eptser,4,2018,6,8,23,0,8/06/2018,23:00,8/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,5,24,148,7,2,0,Barbalux
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180608_230459_002.wav,Plesp,ENVsp,Smits Q.,Verte P.,Principal,Plesp,9,Pleaur,3,2018,6,8,23,4,8/06/2018,23:04,8/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,1,26,0,5,1,0,Barbalux
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180608_231611_002.wav,ENVsp,Eptser,Smits Q.,Verte P.,Principal,ENVsp,10,Eptser,4,2018,6,8,23,16,8/06/2018,23:16,8/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,25,24,140,10,4,0,Barbalux
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180609_013427_002.wav,ChiroSp,Pip35,Smits Q.,Verte P.,Principal,Rhisp,2,Rhifer,2,2018,6,9,1,34,9/06/2018,1:34,8/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,6,41,0,6,7,0,Barbalux
G:/Données Patrick 2018/PC/201801/,H-BARBA_20180609_014922_002.wav,Myosp,Myosp,Smits Q.,Verte P.,Principal,Myosp,9,Myobec,0,2018,6,9,1,49,9/06/2018,1:49,8/06/2018,H-BARBA,Lisière trou du Beaubois,Lisière vraie (milieu ouvert/milieux forestier),,,22,41,94,5,1,0,Barbalux
