Directory,File,Validation,Id,Id_avant validation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Opérateur,Site,Machine,Projet,Habitat1,Habitat2
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/NOISE/,SM2-BXL_20150802_222855_000.wav,P. Nyssen,ChiroSp,ChiroSp,Main,Myosp,0,Myomyo,0,2015,8,2,22,28,2/08/2015,22:28,2/08/2015,SM2-BXL,5,28,285,4,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150802_223310_000.wav,P. Nyssen,ChiroSp,ChiroSp,Main,Myosp,0,Myomyo,0,2015,8,2,22,33,2/08/2015,22:33,2/08/2015,SM2-BXL,2,29,0,5,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150802_223315_000.wav,P. Nyssen,ENVsp,ChiroSp,Main,Myosp,0,Myomyo,0,2015,8,2,22,33,2/08/2015,22:33,2/08/2015,SM2-BXL,9,28,146,6,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/NOISE/,SM2-BXL_20150802_224940_000.wav,P. Nyssen,ENVsp,ENVsp,Main,ENVsp,9,Eptnil,5,2015,8,2,22,49,2/08/2015,22:49,2/08/2015,SM2-BXL,1,31,424,5,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/NOISE/,SM2-BXL_20150802_230135_000.wav,P. Nyssen,ENVsp,ChiroSp,Main,ENVsp,0,Eptser,0,2015,8,2,23,1,2/08/2015,23:01,2/08/2015,SM2-BXL,2,29,0,4,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150802_230140_000.wav,P. Nyssen,ENVsp,ChiroSp,Main,Plesp,0,Pleaur,0,2015,8,2,23,1,2/08/2015,23:01,2/08/2015,SM2-BXL,32,38,130,7,4,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150802_230145_000.wav,P. Nyssen,ENVsp,ChiroSp,Main,ENVsp,0,Vesmur,0,2015,8,2,23,1,2/08/2015,23:01,2/08/2015,SM2-BXL,4,29,135,5,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150802_231010_000.wav,P. Nyssen,ENVsp,ENVsp,Main,ENVsp,10,Vesmur,4,2015,8,2,23,10,2/08/2015,23:10,2/08/2015,SM2-BXL,14,28,340,9,3,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150802_232510_000.wav,P. Nyssen,ENVsp,ENVsp,Main,ENVsp,6,Nycnoc,2,2015,8,2,23,25,2/08/2015,23:25,2/08/2015,SM2-BXL,1,24,0,5,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150802_234345_000.wav,P. Nyssen,Myosp,ChiroSp,Main,Myosp,3,Myobec,3,2015,8,2,23,43,2/08/2015,23:43,2/08/2015,SM2-BXL,28,41,89,7,3,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150802_234350_000.wav,P. Nyssen,Myosp,ChiroSp,Main,Myosp,1,Myobec,1,2015,8,2,23,43,2/08/2015,23:43,2/08/2015,SM2-BXL,31,41,93,6,1,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_001540_000.wav,P. Nyssen,ENVsp,Eptnil,Secondary,ENVsp,9,Eptnil,6,2015,8,3,0,15,3/08/2015,0:15,2/08/2015,SM2-BXL,4,30,19,6,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_002545_000.wav,C. Brabant,Nyclei,ENVsp,Main,ENVsp,10,Eptnil,4,2015,8,3,0,25,3/08/2015,0:25,2/08/2015,SM2-BXL,16,29,224,8,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_002550_000.wav,C. Brabant,ENVsp,ENVsp,Main,ENVsp,6,Eptnil,5,2015,8,3,0,25,3/08/2015,0:25,2/08/2015,SM2-BXL,18,29,118,8,4,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_002555_000.wav,C. Brabant,ENVsp,ENVsp,Main,ENVsp,7,Eptnil,5,2015,8,3,0,25,3/08/2015,0:25,2/08/2015,SM2-BXL,6,29,479,7,2,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_003500_000.wav,P. Nyssen,Myodau,Myosp,Main,Myosp,6,Myodau,0,2015,8,3,0,35,3/08/2015,0:35,2/08/2015,SM2-BXL,72,44,0,5,3,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_003505_000.wav,P. Nyssen,Myosp,Myosp,Main,Myosp,6,Myobec,1,2015,8,3,0,35,3/08/2015,0:35,2/08/2015,SM2-BXL,6,45,95,5,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_011125_000.wav,P. Nyssen,ENVsp,ENVsp,Main,ENVsp,10,Eptnil,5,2015,8,3,1,11,3/08/2015,1:11,2/08/2015,SM2-BXL,6,29,467,6,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
E:/SM2 Bruxelles 2015/Ecoduc20150801-04_CecileHerr/wav/,SM2-BXL_20150803_020355_792.wav,P. Nyssen,ChiroSp,ChiroSp,Main,ENVsp,5,Eptnil,5,2015,8,3,2,3,3/08/2015,2:03,2/08/2015,SM2-BXL,1,28,0,7,0,0,C. Herr,Ecoduc chemin de fer 161 - Watermael-Boitsfort,SM2,Plecobrux,Forêt feuillue,"Route (induré, circulation véhicule rapide)"
