Directory,File,Id_avantvalidation,Id,Validation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Opérateur,Site,Habitat1,Habitat2,SM2,Machine,Projet,Commentaires
F:/SM2 Jenneret 2012/Wac/05_2012/,COO-BALLON_20120528_213732_680.wav,Rhihip,Rhihip,A. Mazurie,Main,Rhisp,10,Rhihip,10,2012,5,28,21,37,05/28/2012,21:37,05/28/2012,COO-BALLON_0,12,112,26,10,0,0,"H. Ghyselinck, D. Parkinson",Jenneret - Grotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,,SM2,Divers Plecotus,
F:/SM2 Jenneret 2012/Wac/05_2012/,COO-BALLON_20120528_213736_506.wav,Rhihip,Rhihip,A. Mazurie,Main,Rhisp,10,Rhihip,10,2012,5,28,21,37,05/28/2012,21:37,05/28/2012,COO-BALLON_0,7,113,0,7,0,0,"H. Ghyselinck, D. Parkinson",Jenneret - Grotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,,SM2,Divers Plecotus,
F:/SM2 Jenneret 2012/Wac/05_2012/,COO-BALLON_20120528_213740_122.wav,Rhihip,Rhihip,A. Mazurie,Main,Rhisp,10,Rhihip,10,2012,5,28,21,37,05/28/2012,21:37,05/28/2012,COO-BALLON_0,29,112,32,10,0,0,"H. Ghyselinck, D. Parkinson",Jenneret - Grotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,,SM2,Divers Plecotus,
F:/SM2 Jenneret 2012/Wac/05_2012/,COO-BALLON_20120528_213743_349.wav,Rhihip,Rhihip,A. Mazurie,Main,Rhisp,10,Rhihip,10,2012,5,28,21,37,05/28/2012,21:37,05/28/2012,COO-BALLON_0,11,112,30,8,0,0,"H. Ghyselinck, D. Parkinson",Jenneret - Grotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,,SM2,Divers Plecotus,
F:/SM2 Jenneret 2012/Wac/05_2012/,COO-BALLON_20120528_213809_917.wav,Rhihip,Rhihip,A. Mazurie,Main,Rhisp,10,Rhihip,10,2012,5,28,21,38,05/28/2012,21:38,05/28/2012,COO-BALLON_0,43,112,23,10,0,0,"H. Ghyselinck, D. Parkinson",Jenneret - Grotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,,SM2,Divers Plecotus,
F:/SM2 Jenneret 2012/Wac/05_2012/,COO-BALLON_20120528_214318_235.wav,Rhihip,Rhihip,A. Mazurie,Main,Rhisp,10,Rhihip,10,2012,5,28,21,43,05/28/2012,21:43,05/28/2012,COO-BALLON_0,16,112,32,7,0,0,"H. Ghyselinck, D. Parkinson",Jenneret - Grotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,,SM2,Divers Plecotus,
F:/SM2 Jenneret 2012/Wac/05_2012/,COO-BALLON_20120528_214323_028.wav,Rhihip,Rhihip,A. Mazurie,Main,Rhisp,10,Rhihip,10,2012,5,28,21,43,05/28/2012,21:43,05/28/2012,COO-BALLON_0,22,111,38,10,0,0,"H. Ghyselinck, D. Parkinson",Jenneret - Grotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,,SM2,Divers Plecotus,
F:/SM2 Jenneret 2012/Wac/05_2012/,COO-BALLON_20120528_214327_611.wav,Rhihip,Rhihip,A. Mazurie,Main,Rhisp,10,Rhihip,10,2012,5,28,21,43,05/28/2012,21:43,05/28/2012,COO-BALLON_0,29,112,34,10,0,0,"H. Ghyselinck, D. Parkinson",Jenneret - Grotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,,SM2,Divers Plecotus,
F:/SM2 Jenneret 2012/Wac/05_2012/,COO-BALLON_20120528_214331_298.wav,Rhihip,Rhihip,A. Mazurie,Main,Rhisp,10,Rhihip,10,2012,5,28,21,43,05/28/2012,21:43,05/28/2012,COO-BALLON_0,21,111,0,9,0,0,"H. Ghyselinck, D. Parkinson",Jenneret - Grotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,,SM2,Divers Plecotus,
F:/SM2 Jenneret 2012/Wac/05_2012/,COO-BALLON_20120528_214459_476.wav,Rhihip,Rhihip,A. Mazurie,Main,Rhisp,10,Rhihip,10,2012,5,28,21,44,05/28/2012,21:44,05/28/2012,COO-BALLON_0,19,112,32,10,0,0,"H. Ghyselinck, D. Parkinson",Jenneret - Grotte,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,,SM2,Divers Plecotus,
