Dossier,Fichier,Id_avant validation,Id,Validation,Contact,Groupe,IGp,Espece,ISp,Annee,Mois,Jour,Heure,Minute,Date,Temps,Date_nuit,Lieu,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,Site ,Zone,site Natura 2000,Habitat1,Habitat2,Machine,Opérateur,Projet
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180626_232039_000.wav,Eptnil,ENVsp,C. Brabant,Principal,ENVsp,8,Eptnil,6,2018,6,26,23,20,26/06/2018,23:20,26/06/2018,A-LPB,1,29,0,5,1,0,Verger Marie Quoilin,Famenne,hors sites,Lisière vraie (milieu ouvert/milieux forestier),Bande boisée et alignement d'arbres,SM2-A,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180626_234400_147.wav,Eptnil,ENVsp,C. Brabant,Principal,ENVsp,8,Eptnil,8,2018,6,26,23,44,26/06/2018,23:44,26/06/2018,A-LPB,1,30,0,6,3,0,Verger Marie Quoilin,Famenne,hors sites,Lisière vraie (milieu ouvert/milieux forestier),Bande boisée et alignement d'arbres,SM2-A,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2A/WAV/,A-LPB_20180627_000141_645.wav,Eptnil,Eptser,C. Brabant,Principal,ENVsp,8,Eptnil,8,2018,6,27,0,1,27/06/2018,0:01,26/06/2018,A-LPB,15,31,134,7,2,0,Verger Marie Quoilin,Famenne,hors sites,Lisière vraie (milieu ouvert/milieux forestier),Bande boisée et alignement d'arbres,SM2-A,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2B/WAV/,B-LPB_20180620_225203_643.wav,ENVsp,ENVsp,L. Pontet,Principal,ENVsp,8,Eptnil,3,2018,6,20,22,52,20/06/2018,22:52,20/06/2018,B-LPB,7,29,116,6,0,0,Tienne du Grand Sart,Famenne,BE35035,Prairie/culture,Haie,SM2-B,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2B/WAV/,B-LPB_20180620_225011_422.wav,ENVsp,ENVsp,L. Pontet,Principal,ENVsp,7,Eptnil,2,2018,6,20,22,50,20/06/2018,22:50,20/06/2018,B-LPB,37,29,89,6,3,0,Tienne du Grand Sart,Famenne,BE35035,Prairie/culture,Haie,SM2-B,L. Pontet,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180808_230914_000.wav,ENVsp,Eptser,C. Brabant,Principal,ENVsp,10,Eptnil,2,2018,8,8,23,9,8/08/2018,23:09,8/08/2018,A-LPB,24,28,209,8,2,0,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2B/WAV/,B-LPB_20180621_043810_891.wav,ENVsp,Eptser,L. Pontet et C. Brabant,Principal,ENVsp,9,Eptser,4,2018,6,21,4,38,21/06/2018,4:38,20/06/2018,B-LPB,19,26,160,7,5,0,Tienne du Grand Sart,Famenne,BE35035,Prairie/culture,Haie,SM2-B,L. Pontet,Life Prairies Bocagères
F:/Life Prairies Bocagères/SM2B/WAV/,B-LPB_20180621_222024_000.wav,ENVsp,Eptser,C. Brabant,Principal,ENVsp,6,Eptser,3,2018,6,21,22,20,21/06/2018,22:20,21/06/2018,B-LPB,7,26,139,5,0,0,Tienne du Grand Sart,Famenne,BE35035,Prairie/culture,Haie,SM2-B,L. Pontet,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180807_230924_000.wav,ENVsp,Eptser,C. Brabant,Principal,ENVsp,10,Eptser,3,2018,8,7,23,9,7/08/2018,23:09,7/08/2018,A-LPB,17,27,136,7,4,0,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180808_050502_311.wav,ENVsp,ENVsp,C. Brabant,Principal,ENVsp,10,Eptser,2,2018,8,8,5,5,8/08/2018,5:05,7/08/2018,A-LPB,11,25,247,6,2,0,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2A/WAV/,A-LPB_20180808_215719_000.wav,ENVsp,ENVsp,C. Brabant,Principal,ENVsp,10,Eptser,4,2018,8,8,21,57,8/08/2018,21:57,8/08/2018,A-LPB,13,26,123,6,2,0,Réserve d'Aye,Famenne,hors sites,Prairie,Bande boisée et alignement d'arbres,SM2-A,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180807_223104_000.wav,ENVsp,Eptser,C. Brabant,Secondaire,ENVsp,10,Eptser,2,2018,8,7,22,31,7/08/2018,22:31,7/08/2018,C-LPB,9,27,111,7,3,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180808_003247_028.wav,ENVsp,Eptser,C. Brabant,Secondaire,ENVsp,10,Eptser,2,2018,8,8,0,32,8/08/2018,0:32,7/08/2018,C-LPB,4,25,433,7,0,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM4/WAV/,S4U00311_20180815_223031_000.wav,ChiroSp,Eptser,P. Nyssen,Principal,Myosp,1,Myodas,1,2018,8,15,22,30,15/08/2018,22:30,15/08/2018,S4U00311,103,38,0,7,8,5,prés de virelles ug02,Fagne,BE32036,Prairie,Bande boisée et alignement d'arbres,SM24,O. Kints,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM4/WAV/,S4U00311_20180815_223031_000.wav,ChiroSp,Myodau,P. Nyssen,Secondaire,Myosp,1,Myodas,1,2018,8,15,22,30,15/08/2018,22:30,15/08/2018,S4U00311,103,38,0,7,8,5,prés de virelles ug02,Fagne,BE32036,Prairie,Bande boisée et alignement d'arbres,SM24,O. Kints,Life Prairies Bocagères
F:/Life Prairies Bocagères/Nouveau dossier/SM4/WAV/,S4U00311_20180815_015710_000.wav,ChiroSp,Myomys,P. Nyssen,Principal,Myosp,0,Myoalc,0,2018,8,15,1,57,15/08/2018,1:57,14/08/2018,S4U00311,95,47,0,6,3,0,prés de virelles ug02,Fagne,BE32036,Prairie,Bande boisée et alignement d'arbres,SM24,O. Kints,Life Prairies Bocagères
G:/Life Prairies Bocagères/Reserve d'Aye/SM2C/WAV/,C-LPB_20180807_224025_870.wav,ChiroSp,Myosp,P. Nyssen,Principal,Myosp,0,Myomys,0,2018,8,7,22,40,7/08/2018,22:40,7/08/2018,C-LPB,84,47,57,7,2,0,Réserve d'Aye,Famenne,hors sites,Forêt feuillue,,SM2-C,C. Brabant et P. Lighezzolo,Life Prairies Bocagères
