Directory,File,Validation,Id,Id_avantvalidation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Opérateur,Site,Habitat1,Habitat2,Machine,Projet
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150709_223132_342.wav,P. Nyssen,Nycnoc,Nycnoc,Main,ENVsp,10,Nycnoc,10,2015,7,9,22,31,9/07/2015,22:31,9/07/2015,SM2BAT1,17,19,274,10,0,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150709_224113_819.wav,P. Nyssen,Nycnoc,Nycnoc,Main,ENVsp,10,Nycnoc,10,2015,7,9,22,41,9/07/2015,22:41,9/07/2015,SM2BAT1,16,20,270,9,0,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150709_224118_820.wav,P. Nyssen,Nycnoc,Nycnoc,Main,ENVsp,10,Nycnoc,10,2015,7,9,22,41,9/07/2015,22:41,9/07/2015,SM2BAT1,9,20,279,10,0,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150709_224759_573.wav,P. Nyssen,PippiT,ChiroSp,Main,Myosp,0,Myoalc,0,2015,7,9,22,47,9/07/2015,22:47,9/07/2015,SM2BAT1,14,66,89,3,0,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150710_025704_642.wav,P. Nyssen,PippiT,ChiroSp,Main,Myosp,0,Myoalc,0,2015,7,10,2,57,10/07/2015,2:57,9/07/2015,SM2BAT1,32,65,78,3,0,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150709_230924_704.wav,P. Nyssen,Myodau,Myosp,Main,Myosp,7,Myobec,2,2015,7,9,23,9,9/07/2015,23:09,9/07/2015,SM2BAT1,17,38,81,5,0,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150709_232705_602.wav,P. Nyssen,Myodau,Myosp,Secondary,Myosp,10,Myobec,1,2015,7,9,23,27,9/07/2015,23:27,9/07/2015,SM2BAT1,3,31,70,5,0,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150710_000138_384.wav,P. Nyssen,Myosp,Myosp,Main,Myosp,8,Myobec,0,2015,7,10,0,1,10/07/2015,0:01,9/07/2015,SM2BAT1,14,38,87,5,0,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150710_005444_832.wav,P. Nyssen,Myodas,Myosp,Main,Myosp,10,Myobec,2,2015,7,10,0,54,10/07/2015,0:54,9/07/2015,SM2BAT1,28,35,99,5,0,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150710_005534_253.wav,P. Nyssen,Myosp,Myosp,Main,Myosp,7,Myobec,2,2015,7,10,0,55,10/07/2015,0:55,9/07/2015,SM2BAT1,20,39,80,4,0,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150710_014857_284.wav,P. Nyssen,Myodau,Myosp,Main,Myosp,8,Myobec,2,2015,7,10,1,48,10/07/2015,1:48,9/07/2015,SM2BAT1,20,39,88,5,1,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150709_225755_920.wav,P. Nyssen,PippiT,ChiroSp,Main,Myosp,1,Myobra,1,2015,7,9,22,57,9/07/2015,22:57,9/07/2015,SM2BAT1,21,52,0,3,0,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150709_231915_106.wav,P. Nyssen,Pipnat,Pip35,Main,Pip35,9,Pipkuh,3,2015,7,9,23,19,9/07/2015,23:19,9/07/2015,SM2BAT1,25,39,92,8,0,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150709_232027_474.wav,P. Nyssen,PippiT,PippiT,Main,Pip50,10,PippiT,10,2015,7,9,23,20,9/07/2015,23:20,9/07/2015,SM2BAT1,58,47,42,7,3,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
C:/Users/stagiaire2/Desktop/Data/Pierrette_dataEscaut20150722/,SM2BAT1_0_20150709_232027_474.wav,P. Nyssen,Eptser,ENVsp,Secondary,ENVsp,10,Eptser,2,2015,7,9,23,20,9/07/2015,23:20,9/07/2015,SM2BAT1,12,24,45,9,6,0,H. Vandewalle,"Le Long de l'Escaut, au niveau de Léaucourt ",Cours d'eau - fleuves et gd rivières (L >10 m),Bande boisée et alignement d'arbres,SM2-1,Plecotus Natura 2000
