Directory,File,Validation,Id,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Site,Opérateur,Habitat1,Habitat2,Machine,Projet
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_225236_948.wav,P. Nyssen,PippiT,Main,Myosp,0,Myobra,0,2014,6,3,22,52,3/06/2014,22:52,3/06/2014,SM2-1,7,46,79,4,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140603_230224_131.wav,P. Nyssen,PippiT,Main,Myosp,0,Myoalc,0,2014,6,3,23,2,3/06/2014,23:02,3/06/2014,SM2-1,5,57,60,4,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140606_033843_049.wav,P. Nyssen,Nyclei,Main,ENVsp,10,Nyclei,3,2014,6,6,3,38,6/06/2014,3:38,5/06/2014,SM2-1,6,24,459,10,2,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140606_040925_290.wav,P. Nyssen,PippiT,Main,Myosp,1,Myobra,1,2014,6,6,4,9,6/06/2014,4:09,5/06/2014,SM2-1,6,44,0,4,1,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140606_223951_884.wav,P. Nyssen,PippiT,Main,Myosp,0,Myoalc,0,2014,6,6,22,39,6/06/2014,22:39,6/06/2014,SM2-1,43,57,43,3,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140606_223959_130.wav,P. Nyssen,PippiT,Main,Myosp,3,Myoalc,3,2014,6,6,22,39,6/06/2014,22:39,6/06/2014,SM2-1,54,53,0,2,0,1,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140607_001806_167.wav,P. Nyssen,Pipnat,Main,Pip35,10,Pipnat,10,2014,6,7,0,18,7/06/2014,0:18,6/06/2014,SM2-1,12,41,176,6,1,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140607_002554_154.wav,P. Nyssen,PippiT,Main,Myosp,0,Myobra,0,2014,6,7,0,25,7/06/2014,0:25,6/06/2014,SM2-1,13,47,0,3,2,3,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140607_005739_686.wav,P. Nyssen,Pipnat,Main,Pip35,8,Pipnat,8,2014,6,7,0,57,7/06/2014,0:57,6/06/2014,SM2-1,30,42,158,10,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140607_010958_909.wav,P. Nyssen,Pipnat,Main,Pip35,5,Pipkuh,0,2014,6,7,1,9,7/06/2014,1:09,6/06/2014,SM2-1,11,43,0,6,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140607_020404_244.wav,P. Nyssen,Myosp,Main,Myosp,7,Myonat,7,2014,6,7,2,4,7/06/2014,2:04,6/06/2014,SM2-1,6,27,104,0,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140607_032650_817.wav,P. Nyssen,PippiT,Main,Myosp,0,Myobra,0,2014,6,7,3,26,7/06/2014,3:26,6/06/2014,SM2-1,6,45,0,3,1,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140607_033013_858.wav,P. Nyssen,ChiroSp,Main,Myosp,0,Myobra,0,2014,6,7,3,30,7/06/2014,3:30,6/06/2014,SM2-1,11,43,0,4,2,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140607_033907_332.wav,P. Nyssen,Myomyo,Main,Myosp,7,Myonat,2,2014,6,7,3,39,7/06/2014,3:39,6/06/2014,SM2-1,72,35,0,6,4,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140607_231704_250.wav,P. Nyssen,PippiT,Main,Pip50,10,PippiT,10,2014,6,7,23,17,7/06/2014,23:17,7/06/2014,SM2-1,36,44,85,7,5,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140607_231704_250.wav,P. Nyssen,Eptser,Secondary,ENVsp,2,Eptser,0,2014,6,7,23,17,7/06/2014,23:17,7/06/2014,SM2-1,12,26,0,7,7,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140607_231717_002.wav,P. Nyssen,Eptser,Main,ENVsp,3,Eptser,1,2014,6,7,23,17,7/06/2014,23:17,7/06/2014,SM2-1,32,30,120,8,2,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140607_234054_706.wav,P. Nyssen,ChiroSp,Main,Myosp,0,Myoalc,0,2014,6,7,23,40,7/06/2014,23:40,7/06/2014,SM2-1,4,50,56,3,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140607_234733_553.wav,P. Nyssen,ChiroSp,Main,Myosp,2,Myoalc,2,2014,6,7,23,47,7/06/2014,23:47,7/06/2014,SM2-1,2,51,0,2,0,1,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140608_000937_312.wav,P. Nyssen,Pipnat,Main,Pip35,5,Pipkuh,0,2014,6,8,0,9,8/06/2014,0:09,7/06/2014,SM2-1,55,43,0,6,4,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140608_001029_068.wav,P. Nyssen,ChiroSp,Main,Pip35,0,Pipkuh,0,2014,6,8,0,10,8/06/2014,0:10,7/06/2014,SM2-1,2,47,0,3,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140608_003917_241.wav,P. Nyssen,Pipnat,Main,Pip35,0,Pipkuh,0,2014,6,8,0,39,8/06/2014,0:39,7/06/2014,SM2-1,76,43,0,5,4,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140608_014432_808.wav,P. Nyssen,PippiT,Main,Pip35,0,Pipkuh,0,2014,6,8,1,44,8/06/2014,1:44,7/06/2014,SM2-1,41,46,0,4,1,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140608_031705_208.wav,P. Nyssen,Myosp,Main,Myosp,9,Myodau,0,2014,6,8,3,17,8/06/2014,3:17,7/06/2014,SM2-1,10,46,0,3,1,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140608_031707_506.wav,P. Nyssen,Myosp,Main,Myosp,7,Myobra,1,2014,6,8,3,17,8/06/2014,3:17,7/06/2014,SM2-1,16,47,85,3,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140608_033109_861.wav,P. Nyssen,PippiT,Main,Myosp,1,Myobra,1,2014,6,8,3,31,8/06/2014,3:31,7/06/2014,SM2-1,6,44,0,3,1,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140608_040404_000.wav,P. Nyssen,PippiT,Main,Myosp,2,Myobra,1,2014,6,8,4,4,8/06/2014,4:04,7/06/2014,SM2-1,20,47,0,4,1,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
G:/SM2 Hautes Fagnes/wav/,SM2-1_0_20140608_041404_000.wav,P. Nyssen,PippiT,Main,Myosp,0,Myoema,0,2014,6,8,4,14,8/06/2014,4:14,7/06/2014,SM2-1,19,53,0,3,0,0,Mare C551 Geitzbusch,P. Rousselle,Plan d'eau - mare (< 50m²),buissons isolés,SM2-1,Plecotus Natura 2000
