Directory,File,Validation,Id,Id_avantvalidation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Opérateur,Site,Habitat1,Habitat2,Machine,Projet
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_214830_929.wav,A. Mazurie,Rhihip,Rhihip,Main,Rhisp,10,Rhihip,10,2014,6,4,21,48,4/06/2014,21:48,4/06/2014,LIFEB_0,15,94,0,6,0,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_234232_034.wav,A. Mazurie,Myomys,ChiroSp,Main,Myosp,0,Myonat,0,2014,6,4,23,42,4/06/2014,23:42,4/06/2014,LIFEB_0,2,62,0,0,0,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_234255_624.wav,A. Mazurie,Rhihip,Rhihip,Secondary,Rhisp,10,Rhihip,10,2014,6,4,23,42,4/06/2014,23:42,4/06/2014,LIFEB_0,21,105,0,8,0,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_234304_000.wav,A. Mazurie,Myoalc,Myosp,Main,Myosp,8,Myoema,4,2014,6,4,23,43,4/06/2014,23:43,4/06/2014,LIFEB_0,13,58,63,2,0,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_235102_060.wav,A. Mazurie,Myoalc,Myosp,Main,Myosp,9,Myoema,4,2014,6,4,23,51,4/06/2014,23:51,4/06/2014,LIFEB_0,4,56,66,1,0,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_235615_015.wav,A. Mazurie,Rhihip,Rhihip,Main,Rhisp,8,Rhihip,8,2014,6,4,23,56,4/06/2014,23:56,4/06/2014,LIFEB_0,6,47,38,5,1,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_235729_795.wav,A. Mazurie,Rhihip,Rhihip,Main,Rhisp,10,Rhihip,10,2014,6,4,23,57,4/06/2014,23:57,4/06/2014,LIFEB_0,16,95,0,6,0,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_235737_773.wav,A. Mazurie,Rhihip,Rhihip,Main,Rhisp,10,Rhihip,10,2014,6,4,23,57,4/06/2014,23:57,4/06/2014,LIFEB_0,87,96,0,7,3,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_235744_830.wav,A. Mazurie,Rhihip,Rhihip,Main,Rhisp,10,Rhihip,10,2014,6,4,23,57,4/06/2014,23:57,4/06/2014,LIFEB_0,14,98,11,7,0,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
G:/SM2 Trou Picot Intérieur/,LIFEB_0_20140604_235753_548.wav,A. Mazurie,Rhihip,Rhihip,Main,Rhisp,10,Rhihip,10,2014,6,4,23,57,4/06/2014,23:57,4/06/2014,LIFEB_0,39,106,0,8,5,0,P. Nyssen,Trou Picot - entrée,"Cavité - carrière, mine et grotte",Bande boisée et alignement d'arbres,SM2-B,Divers Plecotus
