File,Validation,Id,Id_avantvalidation,Contact,Group,IGp,Species,ISp,Year,Month,Day,Hour,Minute,Date,Time,Night_Date,Place,NbCalls,MedFreq,MedInt,Iqual,Isc,Ibuz,Opérateur,Site,Habitat1,Habitat2,Machine,Projet,Commentaires
0_20130626_235527_859.wav,A. Mazurie,Myobra,Myosp,Main,Myosp,9,Myomys,3,2013,6,26,23,55,26/06/2013,23:55:00,26/06/2013,0,97,56,0,2,2,3,Y. Latinne,Emplacement 3 - Bois Brûlé,Forêt mixte,Layons,SM2,Divers Plecotus,
0_20130627_014048_062.wav,A. Mazurie,Myoalc,Myosp,Main,Myosp,8,Myomys,3,2013,6,27,1,40,27/06/2013,1:40:00,26/06/2013,0,90,56,0,4,2,0,Y. Latinne,Emplacement 3 - Bois Brûlé,Forêt mixte,Layons,SM2,Divers Plecotus,
0_20130711_014454_349.wav,A. Mazurie,PippiT,ChiroSp,Main,Rhisp,0,Rhihip,0,2013,7,11,1,44,11/07/2013,1:44:00,10/07/2013,0,1,45,0,4,0,0,Y. Latinne,Emplacement 4 - Bois Brûlé,Forêt mixte,Layons,SM2,Divers Plecotus,
0_20130719_222309_445.wav,A. Mazurie,Myomys,Myosp,Main,Myosp,9,Myomys,3,2013,7,19,22,23,19/07/2013,22:23:00,19/07/2013,0,33,53,0,5,1,0,Y. Latinne,Emplacement 5 - Les Croupettes,Forêt feuillue,"Chemin (induré, circulation véhicule lents)",SM2,Divers Plecotus,
0_20130803_231138_182.wav,A. Mazurie,Pippyg,Barbar,Main,Barbar,6,Barbar,6,2013,8,3,23,11,3/08/2013,23:11,3/08/2013,0,13,33,0,6,3,0,Y. Latinne,Emplacement 7 - El Vâ,Forêt mixte,Layons,SM2,Divers Plecotus,
0_20130803_233218_429.wav,A. Mazurie,Myomys,Myosp,Main,Myosp,10,Myomys,4,2013,8,3,23,32,3/08/2013,23:32,3/08/2013,0,8,56,78,5,0,0,Y. Latinne,Emplacement 7 - El Vâ,Forêt mixte,Layons,SM2,Divers Plecotus,
0_20130804_215042_358.wav,A. Mazurie,PippiT,ChiroSp,Secondary,Rhisp,0,Rhihip,0,2013,8,4,21,50,4/08/2013,21:50,4/08/2013,0,3,90,0,5,0,0,Y. Latinne,Emplacement 7 - El Vâ,Forêt mixte,Layons,SM2,Divers Plecotus,
0_20130806_003359_760.wav,A. Mazurie,Myodau,Myosp,Main,Myosp,10,Myomys,3,2013,8,6,0,33,6/08/2013,0:33,5/08/2013,0,37,59,56,4,2,0,Y. Latinne,Emplacement 7 - El Vâ,Forêt mixte,Layons,SM2,Divers Plecotus,
0_20130806_012149_229.wav,A. Mazurie,PippiT,Eptnil,Secondary,ENVsp,9,Eptnil,9,2013,8,6,1,21,6/08/2013,1:21,5/08/2013,0,4,32,0,8,7,0,Y. Latinne,Emplacement 7 - El Vâ,Forêt mixte,Layons,SM2,Divers Plecotus,
0_20130806_231054_912.wav,A. Mazurie,Myomys,Myosp,Main,Myosp,10,Myomys,3,2013,8,6,23,10,6/08/2013,23:10,6/08/2013,0,61,57,55,4,2,0,Y. Latinne,Emplacement 7 - El Vâ,Forêt mixte,Layons,SM2,Divers Plecotus,
