Dossier,Fichier,Id_avant validation,Id,Validation,Contact,Groupe,IGp,Espece,ISp,Annee,Mois,Jour,Heure,Minute,Date,Temps,Date_nuit,Lieu,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz,site,N° appareil
F:/batlogger/20170918_BL_Ukkel_802/WAV/,22980733_20170907_00000_000.wav,PippiT,PippiT,P. Nyssen,Principal,Pip50,10,PippiT,10,2017,9,7,-,-,7/09/2017,-,-,-,14,48,0,4,1,0,1) abri animaux,18802
F:/batlogger/Plateau Engeland 2017_batlogger/20170829_BL_Ukkel/WAV/,23190194_20170825_00000_000.wav,ENVsp,Nyclei,P. Nyssen,Principal,ENVsp,6,Nyclei,0,2017,8,25,0,0,25/08/2017,0:00,24/08/2017,23190071,10,27,105,6,3,0,"1) abri animaux ou 2) vallon culture, fond",18804
F:/batlogger/Plateau Engeland 2017_batlogger/20170829_BL_Ukkel/WAV/,23190194_20170825_00000_000.wav,PippiT,PippiT,P. Nyssen,Secondaire,Pip50,10,PippiT,10,2017,8,25,0,0,25/08/2017,0:00,24/08/2017,23190071,3,47,0,6,2,0,"1) abri animaux ou 2) vallon culture, fond",18804
F:/batlogger/Plateau Engeland 2017_batlogger/20170829_BL_Ukkel/WAV/,23190219_20170825_00000_000.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,1,Myobec,1,2017,8,25,0,0,25/08/2017,0:00,24/08/2017,23190071,3,38,0,5,0,0,"1) abri animaux ou 2) vallon culture, fond",18804
F:/batlogger/Plateau Engeland 2017_batlogger/20170829_BL_Ukkel/WAV/,23190391_20170825_00000_000.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,0,Myodas,0,2017,8,25,0,0,25/08/2017,0:00,24/08/2017,23190071,2,35,0,2,3,0,"1) abri animaux ou 2) vallon culture, fond",18804
F:/batlogger/Plateau Engeland 2017_batlogger/20170829_BL_Ukkel/WAV/,23190446_20170825_00000_000.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,2,Myobra,2,2017,8,25,0,0,25/08/2017,0:00,24/08/2017,23190071,8,45,91,5,0,0,"1) abri animaux ou 2) vallon culture, fond",18804
F:/batlogger/Plateau Engeland 2017_batlogger/20170829_BL_Ukkel/WAV/,23190447_20170825_00000_000.wav,Myosp,Myoema,"P. Nyssen, J. Demaret, M. Barataud",Principal,Myosp,6,Myobec,1,2017,8,25,0,0,25/08/2017,0:00,24/08/2017,23190071,17,48,82,4,1,0,"1) abri animaux ou 2) vallon culture, fond",18804
F:/batlogger/Plateau Engeland 2017_batlogger/20170829_BL_Ukkel/WAV/,23190476_20170825_00000_000.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,3,Myobra,3,2017,8,25,0,0,25/08/2017,0:00,24/08/2017,23190071,9,45,87,4,0,0,"1) abri animaux ou 2) vallon culture, fond",18804
F:/batlogger/Plateau Engeland 2017_batlogger/20170829_BL_Ukkel/WAV/,23190477_20170825_00000_000.wav,Myosp,Myodau,P. Nyssen,Principal,Myosp,8,Myobra,1,2017,8,25,0,0,25/08/2017,0:00,24/08/2017,23190071,14,46,83,3,0,0,"1) abri animaux ou 2) vallon culture, fond",18804
F:/batlogger/Plateau Engeland 2017_batlogger/20170829_BL_Ukkel/WAV/,23190478_20170825_00000_000.wav,ChiroSp,Myosp,C. Brabant,Principal,Myosp,4,Myobra,2,2017,8,25,0,0,25/08/2017,0:00,24/08/2017,23190071,8,45,90,5,0,0,"1) abri animaux ou 2) vallon culture, fond",18804
F:/batlogger/Plateau Engeland 2017_batlogger/20170829_BL_Ukkel/WAV/,23190481_20170825_00000_000.wav,Myosp,Myosp,P. Nyssen,Principal,Myosp,6,Myobra,1,2017,8,25,0,0,25/08/2017,0:00,24/08/2017,23190071,10,46,60,4,0,0,"1) abri animaux ou 2) vallon culture, fond",18804
