Dossier,Fichier,Site,Opérateur,Validation,Id,Id_avant validation,Contact,Groupe,IGp,Espece,ISp,Annee,Mois,Jour,Heure,Minute,Date,Temps,Date_nuit,Lieu,NbCris,Fdom,IntMed,Iqual,Ics,Ibuz
G:/SM2/Intérieur d'îlots/îlot chardons/WAV/,S4U00311_20190510_211015.wav,îlot chardons,C. Brabant,C. Brabant,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2019,5,10,21,10,10/05/2019,21:10,10/05/2019,S4U00311,5,47,80,6,1,0
G:/SM2/Intérieur d'îlots/îlot chardons/WAV/,S4U00311_20190510_213304.wav,îlot chardons,C. Brabant,C. Brabant,Pip50,Pip50,Principal,Pip50,10,Pippyg,1,2019,5,10,21,33,10/05/2019,21:33,10/05/2019,S4U00311,70,55,0,6,8,1
G:/SM2/Intérieur d'îlots/îlot chardons/WAV/,S4U00311_20190510_215412.wav,îlot chardons,C. Brabant,C. Brabant,Pipnat,Pip35,Principal,Pip35,10,Pipkuh,1,2019,5,10,21,54,10/05/2019,21:54,10/05/2019,S4U00311,15,41,171,8,3,0
G:/SM2/Intérieur d'îlots/îlot chardons/WAV/,S4U00311_20190510_215811.wav,îlot chardons,C. Brabant,C. Brabant,Pip50,Pip50,Principal,Pip50,10,Pippyg,4,2019,5,10,21,58,10/05/2019,21:58,10/05/2019,S4U00311,85,53,41,4,2,0
G:/SM2/Intérieur d'îlots/îlot chardons/WAV/,S4U00311_20190510_215811.wav,îlot chardons,C. Brabant,C. Brabant,PippiT,ChiroSp,Secondaire,Myosp,1,Myoalc,1,2019,5,10,21,58,10/05/2019,21:58,10/05/2019,S4U00311,4,51,21,2,0,0
G:/SM2/Intérieur d'îlots/îlot chardons/WAV/,S4U00311_20190510_223053.wav,îlot chardons,C. Brabant,C. Brabant,ChiroSp,ChiroSp,Principal,Myosp,1,Myoalc,1,2019,5,10,22,30,10/05/2019,22:30,10/05/2019,S4U00311,2,51,0,3,0,0
G:/SM2/Intérieur d'îlots/îlot chardons/WAV/,S4U00311_20190511_211553.wav,îlot chardons,C. Brabant,C. Brabant,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2019,5,11,21,15,11/05/2019,21:15,11/05/2019,S4U00311,33,47,86,9,2,0
G:/SM2/Intérieur d'îlots/îlot chardons/WAV/,S4U00311_20190511_222844.wav,îlot chardons,C. Brabant,C. Brabant,Pip50,Pip50,Principal,Pip50,10,Pippyg,5,2019,5,11,22,28,11/05/2019,22:28,11/05/2019,S4U00311,33,51,0,5,2,0
G:/SM2/Intérieur d'îlots/îlot chardons/WAV/,S4U00311_20190512_212514.wav,îlot chardons,C. Brabant,C. Brabant,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2019,5,12,21,25,12/05/2019,21:25,12/05/2019,S4U00311,47,47,0,8,2,0
G:/SM2/Intérieur d'îlots/îlot chardons/WAV/,S4U00311_20190512_220426.wav,îlot chardons,C. Brabant,C. Brabant,ChiroSp,ChiroSp,Principal,Myosp,1,Myoalc,1,2019,5,12,22,4,12/05/2019,22:04,12/05/2019,S4U00311,7,58,54,4,0,0
G:/SM2/Intérieur d'îlots/îlot chardons/WAV/,S4U00311_20190512_224050.wav,îlot chardons,C. Brabant,C. Brabant,Pip50,Pippyg,Principal,Pip50,10,Pippyg,7,2019,5,12,22,40,12/05/2019,22:40,12/05/2019,S4U00311,38,52,0,6,3,0
G:/SM2/Intérieur d'îlots/îlot chardons/WAV/,S4U00311_20190513_015751.wav,îlot chardons,C. Brabant,C. Brabant,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2019,5,13,1,57,13/05/2019,1:57,12/05/2019,S4U00311,40,47,0,8,4,0
G:/SM2/Intérieur d'îlots/Saint Josse/WAV/,S4U00311_20190526_215408.wav,Jardin Saint Josse,C. Brabant,C. Brabant,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2019,5,26,21,54,26/05/2019,21:54,26/05/2019,S4U00311,36,47,74,10,4,0
G:/SM2/Intérieur d'îlots/Saint Josse/WAV/,S4U00311_20190527_000010.wav,Jardin Saint Josse,C. Brabant,C. Brabant,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2019,5,27,0,0,27/05/2019,0:00,26/05/2019,S4U00311,19,46,103,9,3,0
G:/SM2/Intérieur d'îlots/Saint Josse/WAV/,S4U00311_20190527_223456.wav,Jardin Saint Josse,C. Brabant,C. Brabant,Pip50,Pip50,Principal,Pip50,10,Pippyg,3,2019,5,27,22,34,27/05/2019,22:34,27/05/2019,S4U00311,12,50,0,8,3,0
G:/SM2/Intérieur d'îlots/Saint Josse/WAV/,S4U00311_20190527_224707.wav,Jardin Saint Josse,C. Brabant,C. Brabant,Pipnat,Pipnat,Principal,Pip35,9,Pipnat,8,2019,5,27,22,47,27/05/2019,22:47,27/05/2019,S4U00311,30,39,140,10,6,0
G:/SM2/Intérieur d'îlots/Saint Josse/WAV/,S4U00311_20190527_224712.wav,Jardin Saint Josse,C. Brabant,C. Brabant,Pipnat,Pip35,Principal,Pip35,8,Pipkuh,1,2019,5,27,22,47,27/05/2019,22:47,27/05/2019,S4U00311,2,39,0,5,1,0
G:/SM2/Intérieur d'îlots/Saint Josse/WAV/,S4U00311_20190527_224836.wav,Jardin Saint Josse,C. Brabant,C. Brabant,ChiroSp,ChiroSp,Principal,Myosp,3,Myoalc,3,2019,5,27,22,48,27/05/2019,22:48,27/05/2019,S4U00311,17,60,33,3,1,0
G:/SM2/Intérieur d'îlots/Saint Josse/WAV/,S4U00311_20190528_000533.wav,Jardin Saint Josse,C. Brabant,C. Brabant,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2019,5,28,0,5,28/05/2019,0:05,27/05/2019,S4U00311,25,46,118,9,4,0
G:/SM2/Intérieur d'îlots/Saint Josse/WAV/,S4U00311_20190528_010010.wav,Jardin Saint Josse,C. Brabant,C. Brabant,ChiroSp,ChiroSp,Principal,Pip35,0,Pipnat,0,2019,5,28,1,0,28/05/2019,1:00,27/05/2019,S4U00311,3,41,0,6,2,0
G:/SM2/Intérieur d'îlots/Saint Josse/WAV/,S4U00311_20190528_010649.wav,Jardin Saint Josse,C. Brabant,C. Brabant,Pip50,Pip50,Principal,Pip50,9,Pippyg,5,2019,5,28,1,6,28/05/2019,1:06,27/05/2019,S4U00311,10,52,0,7,4,0
G:/SM2/Intérieur d'îlots/Saint Josse/WAV/,S4U00311_20190528_220241.wav,Jardin Saint Josse,C. Brabant,C. Brabant,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2019,5,28,22,2,28/05/2019,22:02,28/05/2019,S4U00311,44,47,0,8,3,0
G:/SM2/Intérieur d'îlots/Saint Josse/WAV/,S4U00311_20190529_001752.wav,Jardin Saint Josse,C. Brabant,C. Brabant,Pip50,Pippyg,Principal,Pip50,10,Pippyg,7,2019,5,29,0,17,29/05/2019,0:17,28/05/2019,S4U00311,7,51,0,6,0,0
G:/SM2/Jardin Massart/Batlogger zone humide/BL20190825/WAV/,22980001_00000_000.wav,Jardin Massart zone humide,C. Brabant,C. Brabant,PippiT,PippiT,Principal,Pip50,10,PippiT,10,2019,8,25,20,46,25/08/2019,20:46,25/08/2019,Batlogger,38,48,77,6,0,0
G:/SM2/Jardin Massart/Batlogger zone humide/BL20190825/WAV/,22980101_00000_000.wav,Jardin Massart zone humide,C. Brabant,C. Brabant,Myosp,Myosp,Principal,Myosp,6,Myobra,2,2019,8,25,21,18,25/08/2019,21:18,25/08/2019,Batlogger,8,46,0,3,0,0
G:/SM2/Jardin Massart/Batlogger zone humide/BL20190825/WAV/,22980134_00000_000.wav,Jardin Massart zone humide,C. Brabant,C. Brabant,Nyclei,Eptnil,Principal,ENVsp,10,Eptnil,7,2019,8,25,21,20,25/08/2019,21:20,25/08/2019,Batlogger,28,29,157,9,2,0
